old_names	new_names
WP_006367388.1	Chl_ferrooxidans_KoFox
WP_076792910.1	Chl_phaeoferrooxidans_KB01
WP_011358173.1	Chl_luteolum_DSM_273
WP_131354685.1	Chl_N1
WP_018914220.1	Thiomonas_sp_FB_6
WP_051849522.1	Thiomonas_sp_FB_Cd
WP_013292418.1	Gallionella_capsiferriformans_ES_2
WP_035382865.1	Ferriphaselus_sp_R_1
WP_062625436.1	Ferriphaselus_amnicola_OYT1
WP_013028404.1	Sideroxydans_lithotrophicus_ES_1
AKN35166.1	Mariprofundus_ferrooxydans_PV_1
WP_018295023.1	Mariprofundus_ferrooxydans_M34
WP_053322620.1	Mariprofundus_ferrooxydans_JV_1
WP_012536509.1	Acidithiobacillus_ferrooxidans_ATCC_53993
