qseqid	gene_name
WP_006367388.1	cyc2
#WP_006367389.1	c555
WP_006365810.1	Bacterioferritin
#WP_006367305.1	cysI
WP_006367307.1	cysH
WP_006367308.1	cysD
WP_006367309.1	cysN
#WP_006367310.1	cysG
WP_006367323.1	cysP
WP_006367322.1	cysT
WP_006367321.1	cysW
#WP_006367320.1	cysA
WP_012508102.1	sqr
WP_012508991.1	dsrA
WP_012508990.1	dsrB
WP_012508992.1	dsrC
WP_012508987.1	dsrE
WP_041526868.1	dsrF
WP_012508985.1	dsrH
WP_012508989.1	dsrL
WP_012508993.1	dsrN
WP_012508983.1	dsrM
WP_012508982.1	dsrK
#WP_012508981.1	dsrJ
WP_012508980.1	dsrO
WP_012508979.1	dsrP
#WP_012508984.1	dsrT
WP_012508994.1	tusA
WP_012506868.1	fccA
WP_012506869.1	fccB
WP_012506894.1	aprA
WP_012506895.1	aprB
WP_012506896.1	sat
#WP_012506892.1	qmoA
WP_012506891.1	qmoB
WP_012506890.1	qmoC
#WP_012507595.1	soxJ
WP_012507596.1	soxX
WP_012507597.1	soxY
WP_012507598.1	soxZ
WP_012507599.1	soxA
#WP_012507600.1	soxK
WP_012507601.1	soxB
WP_012506866.1	soyY
WP_012506867.1	soyZ
WP_012508572.1	hupS
WP_012508571.1	hupL
WP_012508570.1	hupC
WP_012508569.1	hupD
#WP_012508060.1	hdrD
#WP_012508062.1	hdrA
#WP_012508059.1	hydB2
#WP_012508058.1	hydG2
