genome	plotting_name
Thiomonas_sp_FB_6__WP_018914220.1	Thiomonas sp. FB-6 (WP_018914220.1)
Thiomonas_sp_FB_Cd__WP_051849522.1	Thiomonas sp. FB-Cd (WP_051849522.1)
Gallionella_capsiferriformans_ES_2__WP_013292418.1	Gallionella capsiferriformans ES-2 (WP_013292418.1)
Ferriphaselus_sp_R_1__WP_035382865.1	Ferriphaselus sp. R-1 (WP_035382865.1)
Ferriphaselus_amnicola_OYT1__WP_062625436.1	Ferriphaselus amnicola OYT1 (WP_062625436.1)
Sideroxydans_lithotrophicus_ES_1__WP_013028404.1	Sideroxydans lithotrophicus ES-1 (WP_013028404.1)
Sideroxydans_lithotrophicus_ES_1__WP_013028405.1	Sideroxydans lithotrophicus ES-1 (WP_013028405.1)
Sideroxydans_lithotrophicus_ES_1__WP_013028406.1	Sideroxydans lithotrophicus ES-1 (WP_013028406.1)
Mariprofundus_ferrooxydans_PV_1__AKN35166.1	Mariprofundus ferrooxydans PV-1 (A0A0H3ZGZ2)
Mariprofundus_ferrooxydans_M34__WP_018295023.1	Mariprofundus ferrooxydans M34 (WP_018295023.1)
Mariprofundus_ferrooxydans_JV_1__WP_053322620.1	Mariprofundus ferrooxydans JV-1 (WP_053322620.1)
Acidithiobacillus_ferrooxidans_ATCC_53993__WP_012536509.1	Acidithiobacillus ferrooxidans ATCC 53993 (WP_012536509.1)
Acidithiobacillus_ferrooxidans_ATCC_53993__WP_012537628.1	Acidithiobacillus ferrooxidans ATCC 53993 (WP_012537628.1)
L304_enr_S_6D	L304 enrichment S-6D
L227_enr_S_6D	L227 enrichment S-6D
Chl_ferrooxidans_KoFox__WP_006367388.1	Chl. ferrooxidans KoFox (WP_006367388.1)
Chl_phaeoferrooxidans_KB01__WP_076792910.1	Chl. phaeoferrooxidans KB01 (WP_076792910.1)
Chl_luteolum_DSM_273__WP_011358173.1	Chl. luteolum DSM 273 (WP_011358173.1)
Chl_N1__WP_131354685.1	Chl. sp. N1 (WP_131354685.1)
L227_2013_Bin_56	L227 2013 bin 56
L227_2014_Bin_92a	L227 2014 bin 92
