genome	plotting_name
Thiomonas_sp_FB_6__WP_018914220_1	Thiomonas sp. FB-6 (WP_018914220.1)
Thiomonas_sp_FB_Cd__WP_051849522_1	Thiomonas sp. FB-Cd (WP_051849522.1)
Gallionella_capsiferriformans_ES_2__WP_013292418_1	Gallionella capsiferriformans ES-2 (WP_013292418.1)
Ferriphaselus_sp_R_1__WP_035382865_1	Ferriphaselus sp. R-1 (WP_035382865.1)
Ferriphaselus_amnicola_OYT1__WP_062625436_1	Ferriphaselus amnicola OYT1 (WP_062625436.1)
Sideroxydans_lithotrophicus_ES_1__WP_013028404_1	Sideroxydans lithotrophicus ES-1 (WP_013028404.1)
Sideroxydans_lithotrophicus_ES_1__WP_013028405_1	Sideroxydans lithotrophicus ES-1 (WP_013028405.1)
Sideroxydans_lithotrophicus_ES_1__WP_013028406_1	Sideroxydans lithotrophicus ES-1 (WP_013028406.1)
Mariprofundus_ferrooxydans_PV1__A0A0H3ZGZ2	Mariprofundus ferrooxydans PV-1 (A0A0H3ZGZ2)
Mariprofundus_ferrooxydans_M34__WP_018295023_1	Mariprofundus ferrooxydans M34 (WP_018295023.1)
Mariprofundus_ferrooxydans_JV_1__WP_053322620_1	Mariprofundus ferrooxydans JV-1 (WP_053322620.1)
Acidithiobacillus_ferrooxidans_ATCC_53993__WP_012536509_1	Acidithiobacillus ferrooxidans ATCC 53993 (WP_012536509.1)
Acidithiobacillus_ferrooxidans_ATCC_53993__WP_012537628_1	Acidithiobacillus ferrooxidans ATCC 53993 (WP_012537628.1)
L304-enr-6D__L304_S_6D_00446	L304 enrichment S-6D
L227-enr-6D__L227_S_6D_01955	L227 enrichment S-6D
Chl_ferrooxidans__WP_006367388_1	Chl. ferrooxidans (WP_006367388.1)
Chl_phaeoferrooxidans__WP_076792910_1	Chl. phaeoferrooxidans (WP_076792910.1)
Chl_luteolum__WP_011358173_1	Chl. luteolum (WP_011358173.1)
L227_2013_bin56__CA-L227-2013_20535_9	L227 bin 56
L227_2014_bin92a__CA-L227-2014_1639_1	L227 unbinned contig
