original_name	tree_name	plotting_name
Chl_chlorochromatii_CaD3	Chl_chlorochromatii_CaD3	Chl. chlorochromatii CaD3
Chl_ferrooxidans_KoFox	Chl_ferrooxidans_KoFox	Chl. ferrooxidans KoFox
Chl_limicola_DSM_245	Chl_limicola_DSM_245	Chl. limicola DSM 245
Chl_luteolum_DSM_273	Chl_luteolum_DSM_273	Chl. luteolum DSM 273
Cba_parvum_NCIB_8327	Cba_parvum_NCIB_8327	Cba. parvum NCIB 8327
Chl_phaeobacteroides_BS1	Chl_phaeobacteroides_BS1	Chl. phaeobacteroides BS1
Chl_phaeobacteroides_DSM_266	Chl_phaeobacteroides_DSM_266	Chl. phaeobacteroides DSM 266
Chl_phaeoferrooxidans_KB01	Chl_phaeoferrooxidans_KB01	Chl. phaeoferrooxidans KB01
Chl_phaeovibrioides_DSM_265	Chl_phaeovibrioides_DSM_265	Chl. phaeovibrioides DSM 265
Chl_tepidum_TLS	Chl_tepidum_TLS	Chl. tepidum TLS
Che_thalassium_ATCC_35110	Che_thalassium_ATCC_35110	Che. thalassium ATCC 35110
Ignavibacterium_album_JCM_16511_outgroup	Ignavibacterium_album_JCM_16511_outgroup	Ignavibacterium album JCM 16511 (outgroup)
L227_2013_bin22	L227_2013_bin22	L227 2013 bin 22
L227_2013_bin55	L227_2013_bin55	L227 2013 bin 55
L227_2013_bin56	L227_2013_bin56	L227 2013 bin 56
L227_enr_S_6D_bin01	L227_enr_S_6D_bin01	L227 enrichment S-6D
L304_enr_S_6D_bin01	L304_enr_S_6D_bin01	L304 enrichment S-6D
L442_2011_2014_bin64	L442_2011_2014_bin64	L442 bin 64
Ptc_aestuarii_DSM_271	Ptc_aestuarii_DSM_271	Ptc. aestuarii DSM 271
Chl_clathratiforme_BU_1	Chl_clathratiforme_BU_1	Chl. clathratiforme BU-1
Chl_sp_N1	Chl_sp_N1	Chl. sp. N1
