Hug_2016_name	prokka_gene_ID	prokka_gene_name
rpL2	rplB	50S ribosomal protein L2
rpL3	rplC	50S ribosomal protein L3
rpL4	rplD	50S ribosomal protein L4
rpL5	rplE	50S ribosomal protein L5
rpL6	rplF	50S ribosomal protein L6
rpL14	rplN	50S ribosomal protein L14
rpL15	rplO	50S ribosomal protein L15
rpL16	rplP	50S ribosomal protein L16
rpL18	rplR	50S ribosomal protein L18
rpL22	rplV	50S ribosomal protein L22
rpL24	rplX	50S ribosomal protein L24
rpS3	rpsC	30S ribosomal protein S3
rpS8	rpsH	30S ribosomal protein S8
rpS10	rpsJ	30S ribosomal protein S10
rpS17	rpsQ	30S ribosomal protein S17
rpS19	rpsS	30S ribosomal protein S19
