raw_name	new_name
CA_L227_2013_13_0	L227 2013 Bin 13
CA_L227_2013_15_1	L227 2013 Bin 15
CA_L227_2013_18_2	L227 2013 Bin 18
L227_2013_bin22_51	L227 2013 Bin 22
CA_L227_2013_23_3	L227 2013 Bin 23
CA_L227_2013_3_4	L227 2013 Bin 3
CA_L227_2013_30_5	L227 2013 Bin 30
CA_L227_2013_31_6	L227 2013 Bin 31
CA_L227_2013_43_7	L227 2013 Bin 43
CA_L227_2013_48_8	L227 2013 Bin 48
CA_L227_2013_49_9	L227 2013 Bin 49
CA_L227_2013_51_10	L227 2013 Bin 51
L227_2013_bin55_52	L227 2013 Bin 55
L227_2013_bin56_53	L227 2013 Bin 56
CA_L227_2013_6_11	L227 2013 Bin 6
CA_L227_2013_64_12	L227 2013 Bin 64
CA_L227_2013_65_13	L227 2013 Bin 65
CA_L227_2013_67_14	L227 2013 Bin 67
CA_L227_2013_78_15	L227 2013 Bin 78
CA_L227_2013_83_16	L227 2013 Bin 83
CA_L227_2014_106_17	L227 2014 Bin 106
CA_L227_2014_108_18	L227 2014 Bin 108
CA_L227_2014_13_19	L227 2014 Bin 13
CA_L227_2014_24_20	L227 2014 Bin 24
CA_L227_2014_37_21	L227 2014 Bin 37
CA_L227_2014_4_22	L227 2014 Bin 4
CA_L227_2014_46_23	L227 2014 Bin 46
CA_L227_2014_49_24	L227 2014 Bin 49
CA_L227_2014_52_25	L227 2014 Bin 52
CA_L227_2014_61_26	L227 2014 Bin 61
CA_L227_2014_88_27	L227 2014 Bin 88
CA_L227_2014_92_28	L227 2014 Bin 92
CA_L442_12_29	L442 Bin 12
CA_L442_14_30	L442 Bin 14
CA_L442_15_31	L442 Bin 15
CA_L442_18_32	L442 Bin 18
CA_L442_19_33	L442 Bin 19
CA_L442_2_34	L442 Bin 2
CA_L442_33_35	L442 Bin 33
CA_L442_57_36	L442 Bin 57
CA_L442_60_37	L442 Bin 60
CA_L442_63_38	L442 Bin 63
L442_2011_2014_bin64_76	L442 Bin 64
CA_L442_70_39	L442 Bin 70
CA_L442_71_40	L442 Bin 71
CA_L442_72_41	L442 Bin 72
CA_L442_74_42	L442 Bin 74
CA_L442_75_43	L442 Bin 75
CA_L442_82_44	L442 Bin 82
CA_L442_84_45	L442 Bin 84
CA_L442_92_46	L442 Bin 92
L227_2013_6m_007_47	L227 2013 6m Bin 7
L227_2013_8m_001_48	L227 2013 8m Bin 1
L227_2013_8m_005_49	L227 2013 8m Bin 5
L227_2013_8m_008_50	L227 2013 8m Bin 8
L227_2014_6m_005_54	L227 2014 6m Bin 5
L227_2014_6m_006_55	L227 2014 6m Bin 6
L227_2014_6m_011_56	L227 2014 6m Bin 11
L227_2014_6m_013_58	L227 2014 6m Bin 13
L227_2014_6m_015_59	L227 2014 6m Bin 15
L227_2014_6m_034_60	L227 2014 6m Bin 34
L227_2014_8m_007_61	L227 2014 8m Bin 7
L227_2014_8m_009_62	L227 2014 8m Bin 9
L227_2014_8m_010_63	L227 2014 8m Bin 10
L227_enr_S_6D_bin01_66	L227 enrichment S-6D GSB
L227_S_6D_002_64	L227 enrichment S-6D Bin 2
L227_S_6D_003_65	L227 enrichment S-6D Bin 3
L304_enr_S_6D_bin01_67	L304 enrichment S-6D GSB
L442_2011_16_5m_003_68	L442 2011 16.5m Bin 3
L442_2011_16_5m_005_69	L442 2011 16.5m Bin 5
L442_2011_16_5m_006_70	L442 2011 16.5m Bin 6
L442_2011_16_5m_007_71	L442 2011 16.5m Bin 7
L442_2011_16_5m_008_72	L442 2011 16.5m Bin 8
L442_2011_16_5m_015_73	L442 2011 16.5m Bin 15
L442_2011_16_5m_018_74	L442 2011 16.5m Bin 18
L442_2011_16_5m_021_75	L442 2011 16.5m Bin 21
L442_2014_15m_004_77	L442 2014 15m Bin 4
L442_2014_15m_009_78	L442 2014 15m Bin 9
L442_2014_15m_012_79	L442 2014 15m Bin 12
L442_2014_15m_013_80	L442 2014 15m Bin 13
