raw_name	new_name
CA_L227_2013_13	L227 2013 Bin 13
CA_L227_2013_15	L227 2013 Bin 15
CA_L227_2013_18	L227 2013 Bin 18
L227_2013_bin22	L227 2013 Bin 22
CA_L227_2013_23	L227 2013 Bin 23
CA_L227_2013_3	L227 2013 Bin 3
CA_L227_2013_30	L227 2013 Bin 30
CA_L227_2013_31	L227 2013 Bin 31
CA_L227_2013_43	L227 2013 Bin 43
CA_L227_2013_48	L227 2013 Bin 48
CA_L227_2013_49	L227 2013 Bin 49
CA_L227_2013_51	L227 2013 Bin 51
L227_2013_bin55	L227 2013 Bin 55
L227_2013_bin56	L227 2013 Bin 56
CA_L227_2013_6	L227 2013 Bin 6
CA_L227_2013_64	L227 2013 Bin 64
CA_L227_2013_65	L227 2013 Bin 65
CA_L227_2013_67	L227 2013 Bin 67
CA_L227_2013_78	L227 2013 Bin 78
CA_L227_2013_83	L227 2013 Bin 83
CA_L227_2014_106	L227 2014 Bin 106
CA_L227_2014_108	L227 2014 Bin 108
CA_L227_2014_13	L227 2014 Bin 13
CA_L227_2014_24	L227 2014 Bin 24
CA_L227_2014_37	L227 2014 Bin 37
CA_L227_2014_4	L227 2014 Bin 4
CA_L227_2014_46	L227 2014 Bin 46
CA_L227_2014_49	L227 2014 Bin 49
CA_L227_2014_52	L227 2014 Bin 52
CA_L227_2014_61	L227 2014 Bin 61
CA_L227_2014_88	L227 2014 Bin 88
CA_L227_2014_92	L227 2014 Bin 92
CA_L442_12	L442 Bin 12
CA_L442_14	L442 Bin 14
CA_L442_15	L442 Bin 15
CA_L442_18	L442 Bin 18
CA_L442_19	L442 Bin 19
CA_L442_2	L442 Bin 2
CA_L442_33	L442 Bin 33
CA_L442_57	L442 Bin 57
CA_L442_60	L442 Bin 60
CA_L442_63	L442 Bin 63
L442_2011_2014_bin64	L442 Bin 64
CA_L442_70	L442 Bin 70
CA_L442_71	L442 Bin 71
CA_L442_72	L442 Bin 72
CA_L442_74	L442 Bin 74
CA_L442_75	L442 Bin 75
CA_L442_82	L442 Bin 82
CA_L442_84	L442 Bin 84
CA_L442_92	L442 Bin 92
L227_2013_6m_007	L227 2013 6m Bin 7
L227_2013_8m_001	L227 2013 8m Bin 1
L227_2013_8m_005	L227 2013 8m Bin 5
L227_2013_8m_008	L227 2013 8m Bin 8
L227_2014_6m_005	L227 2014 6m Bin 5
L227_2014_6m_006	L227 2014 6m Bin 6
L227_2014_6m_011	L227 2014 6m Bin 11
L227_2014_6m_013	L227 2014 6m Bin 13
L227_2014_6m_015	L227 2014 6m Bin 15
L227_2014_6m_034	L227 2014 6m Bin 34
L227_2014_8m_007	L227 2014 8m Bin 7
L227_2014_8m_009	L227 2014 8m Bin 9
L227_2014_8m_010	L227 2014 8m Bin 10
L227_enr_S_6D_bin01	L227 enrichment S-6D GSB
L227_S_6D_002	L227 enrichment S-6D Bin 2
L227_S_6D_003	L227 enrichment S-6D Bin 3
L304_enr_S_6D_bin01	L304 enrichment S-6D GSB
L442_2011_16_5m_003	L442 2011 16.5m Bin 3
L442_2011_16_5m_005	L442 2011 16.5m Bin 5
L442_2011_16_5m_006	L442 2011 16.5m Bin 6
L442_2011_16_5m_007	L442 2011 16.5m Bin 7
L442_2011_16_5m_008	L442 2011 16.5m Bin 8
L442_2011_16_5m_015	L442 2011 16.5m Bin 15
L442_2011_16_5m_018	L442 2011 16.5m Bin 18
L442_2011_16_5m_021	L442 2011 16.5m Bin 21
L442_2014_15m_004	L442 2014 15m Bin 4
L442_2014_15m_009	L442 2014 15m Bin 9
L442_2014_15m_012	L442 2014 15m Bin 12
L442_2014_15m_013	L442 2014 15m Bin 13
