"order"	"colour"
"Methanomicrobiales"	"#F57A5F"
"Methanotrichales"	"#E88521"
"Holophagales"	"#D79000"
"Bacteroidales"	"#C29A00"
"Chlorobiales"	"#A9A400"
"Chloroflexales"	"#89AC00"
"Desulfobacterales"	"#5DB300"
"Elusimicrobiales"	"#00B826"
"Myxococcales"	"#00BD60"
"Phycisphaerales"	"#00C086"
"Azospirillales"	"#00C1A7"
"Betaproteobacteriales"	"#00BFC4"
"Methylococcales"	"#00BBDD"
"Steroidobacterales"	"#00B3F2"
"RFP12"	"#00A7FF"
"Chthoniobacterales"	"#7299FF"
"Pedosphaerales"	"#AB88FF"
"Syntrophales"	"#D177FF"
