domain	phylum	class	order	family	genus	plotting_name	type	cyc2	dsrA	bchL
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula (f__Methanoregulaceae)	a_genus	NA	NA	NA
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved	Unresolved (f__Methanoregulaceae)	a_genus	NA	NA	NA
Archaea	Halobacterota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix (f__Methanotrichaceae)	a_genus	NA	NA	NA
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	Geothrix (f__Holophagaceae)	a_genus	NA	NA	NA
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Unresolved	Unresolved (f__Holophagaceae)	a_genus	NA	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	GCA-2748065	Unresolved	Unresolved (f__GCA-2748065)	a_genus	NA	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Lentimicrobiaceae	UBA4417	UBA4417 (f__Lentimicrobiaceae)	a_genus	NA	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Lentimicrobiaceae	Unresolved	Unresolved (f__Lentimicrobiaceae)	a_genus	NA	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter (f__Paludibacteraceae)	a_genus	NA	NA	NA
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Unresolved	Unresolved	Unresolved (f__Unresolved)	a_genus	NA	NA	NA
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium (f__Chlorobiaceae)	a_genus	NA	NA	NA
Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Oscillochloris	Oscillochloris (f__Chloroflexaceae)	a_genus	NA	NA	NA
Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	RAAP-1	RAAP-1 (f__Desulfatirhabdiaceae)	a_genus	NA	NA	NA
Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	Unresolved	Unresolved (f__UBA9959)	a_genus	NA	NA	NA
Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Unresolved	Unresolved (f__Anaeromyxobacteraceae)	a_genus	NA	NA	NA
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	SM1A02	Unresolved	Unresolved (f__SM1A02)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Unresolved	Unresolved (f__Azospirillaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhodoferax	Rhodoferax (f__Burkholderiaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Gallionellaceae	Gallionella	Gallionella (f__Gallionellaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Gallionellaceae	UBA7399	UBA7399 (f__Gallionellaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Sulfuritalea	Sulfuritalea (f__Rhodocyclaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	KS41	KS41 (f__Methylomonadaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	UBA10906	UBA10906 (f__Methylomonadaceae)	a_genus	NA	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Unresolved	Unresolved (f__Steroidobacteraceae)	a_genus	NA	NA	NA
Bacteria	Verrucomicrobiota	Kiritimatiellae	RFP12	UBA1067	Unresolved	Unresolved (f__UBA1067)	a_genus	NA	NA	NA
Bacteria	Verrucomicrobiota	Kiritimatiellae	RFP12	Unresolved	Unresolved	Unresolved (f__Unresolved)	a_genus	NA	NA	NA
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	UBA695	UBA695 (f__Chthoniobacteraceae)	a_genus	NA	NA	NA
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Unresolved	Unresolved (f__Pedosphaeraceae)	a_genus	NA	NA	NA
Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved	L227 2014 8m Bin 9 (90.63/10.62/42.11); f__Methanoregulaceae; g__Unresolved	b_genome	NA	NA	1
Archaea	Halobacterota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	L227 2013 Bin 30 (99.35/0/0); f__Methanotrichaceae; g__Methanothrix	b_genome	NA	NA	1
