"domain"	"phylum"	"class"	"order"	"family"	"genus"	"genome"	"plot_panel"	"gene_summary"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L227 enrichment S-6D GSB"	"A"	"cyc2 & dsrA"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L304 enrichment S-6D GSB"	"A"	"cyc2 & dsrA"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L227 2013 Bin 56"	"A"	"cyc2"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L227 2014 Bin 92"	"A"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Rhodoferax"	"L442 Bin 2"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Gallionellaceae"	"Gallionella"	"L442 Bin 70"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylomonadaceae"	"KS41"	"L227 2013 8m Bin 1"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylomonadaceae"	"KS41"	"L442 2011 16.5m Bin 5"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylomonadaceae"	"UBA10906"	"L227 2014 6m Bin 13"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylomonadaceae"	"UBA10906"	"L442 2011 16.5m Bin 7"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylomonadaceae"	"UBA10906"	"L442 Bin 71"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"Unresolved"	"L442 Bin 75"	"B"	"cyc2"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"Unresolved"	"L442 Bin 84"	"B"	"cyc2"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L227 2013 Bin 55"	"A"	"dsrA"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L227 2014 Bin 106"	"A"	"dsrA"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L442 2011 16.5m Bin 8"	"A"	"dsrA"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L442 Bin 64"	"A"	"dsrA"
"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfatirhabdiaceae"	"RAAP-1"	"L227 2014 6m Bin 6"	"B"	"dsrA"
"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"Smithellaceae"	"Unresolved"	"L227 2014 Bin 24"	"B"	"dsrA"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Rhodoferax"	"L442 Bin 63"	"B"	"dsrA"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Rhodocyclaceae"	"Sulfuritalea"	"L442 2011 16.5m Bin 6"	"B"	"dsrA"
"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	NA	NA	"C"	"Not applicable"
"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanotrichales"	"Methanotrichaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Acidobacteriota"	"Holophagae"	"Holophagales"	"Holophagaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"GCA-2748065"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Lentimicrobiaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Paludibacteraceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Unresolved"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L227 2013 Bin 22"	"A"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"L442 Bin 74"	"A"	"Not applicable"
"Bacteria"	"Bacteroidota"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Chloroflexota"	"Chloroflexia"	"Chloroflexales"	"Chloroflexaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfatirhabdiaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Elusimicrobiota"	"Elusimicrobia"	"Elusimicrobiales"	"UBA9959"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"SM1A02"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Azospirillales"	"Azospirillaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Gallionellaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Rhodocyclaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylomonadaceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"RFP12"	"UBA1067"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"RFP12"	"Unresolved"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	NA	NA	"C"	"Not applicable"
"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	NA	NA	"C"	"Not applicable"
