"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"A1"	0.0408	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"A2"	0.0426	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B1"	0.0643	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B2"	0.0639	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C1"	0.1024	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C2"	0.105	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D1"	0.1396	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D2"	0.1408	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E1"	0.1786	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E2"	0.177	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F1"	0.2535	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F2"	0.2523	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"G1"	0.0259	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"G2"	0.029	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"H1"	0.0264	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"H2"	0.0271	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"A3"	0.0975	"tU_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A4"	0.098	"tU_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B3"	0.1138	"tU_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B4"	0.1137	"tU_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C3"	0.0764	"tU_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C4"	0.0782	"tU_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D3"	0.0869	"tU_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D4"	0.0837	"tU_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E3"	0.0772	"tU_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E4"	0.0779	"tU_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F3"	0.0772	"tU_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F4"	0.079	"tU_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G3"	0.1028	"tU_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G4"	0.1102	"tU_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H3"	0.1	"tU_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H4"	0.1011	"tU_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A5"	0.0805	"tU_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A6"	0.08	"tU_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B5"	0.0746	"tU_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B6"	0.0801	"tU_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C5"	0.0703	"tU_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
