"Plate_number"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_group"	"Ave_abs_blanked"	"StdDev_abs_blanked"	"Ave_concentration"	"StdDev_concentration"	"Concentration_units"
1	"tU_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0703	0.000353553390593274	101.608954078457	0.51101266328698	"uM"
1	"tU_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0755	0.000777817459305205	109.124836883691	1.12422785923136	"uM"
1	"tU_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0499	0.00388908729652601	72.1235676886913	5.62113929615678	"uM"
1	"tU_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0731	0.000636396103067891	105.65596789666	0.919822793916562	"uM"
1	"tU_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0418	0.00148492424049175	60.4161348574609	2.14625318580532	"uM"
1	"tU_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0662	0.00176776695296637	95.6829695589452	2.5550633164349	"uM"
1	"tU_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05575	0.000424264068711931	80.57893584458	0.613215195944379	"uM"
1	"tU_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08065	0.00113137084989848	116.568451585029	1.63524052251834	"uM"
1	"tU_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.07565	0.00212132034355964	109.341641195381	3.06607597972188	"uM"
1	"tU_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0777	0.00148492424049174	112.304633455137	2.14625318580531	"uM"
1	"tU_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0774	0.000212132034355961	111.871024831758	0.306607597972183	"uM"
1	"tU_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.082	0.000494974746830588	118.519690390234	0.715417728601778	"uM"
1	"tU_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05085	0.000989949493661165	73.4966616627245	1.43083545720354	"uM"
1	"tU_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07605	0.00183847763108502	109.919786026553	2.65726584909229	"uM"
1	"tU_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0553	0.000212132034355961	79.9285229095116	0.306607597972183	"uM"
1	"tU_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07865	0.000707106781186548	113.67772742917	1.02202532657396	"uM"
1	"tU_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0863	7.07106781186568e-05	124.734747325332	0.102202532657399	"uM"
1	"tU_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.09015	0.000141421356237314	130.299391325361	0.204405065314798	"uM"
1	"tU_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04985	0.00127279220613579	72.0512995847948	1.83964558783314	"uM"
1	"tU_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07305	0.000141421356237314	105.583699792764	0.204405065314798	"uM"
1	"tU_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05785	0.00226274169979696	83.6141962082323	3.27048104503668	"uM"
1	"tU_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08295	0.000565685424949244	119.892784364267	0.817620261259177	"uM"
1	"tU_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0501	0.000494974746830578	72.4126401042773	0.715417728601764	"uM"
1	"tU_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0708	0.00134350288425444	102.331635117422	1.94184812049052	"uM"
1	"tU_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05065	0.00127279220613578	73.2075892471386	1.83964558783312	"uM"
1	"tU_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07645	0.000424264068711921	110.497930857724	0.613215195944365	"uM"
1	"tU_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.07905	0.00523259018078045	114.255872260342	7.56298741664731	"uM"
1	"tU_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0834	0.000353553390593274	120.543197299336	0.51101266328698	"uM"
1	"tU_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0731	0.000777817459305195	105.65596789666	1.12422785923135	"uM"
1	"tU_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07865	0.00127279220613579	113.67772742917	1.83964558783314	"uM"
