Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc	Standard_group
1	A1	Std 1	1	Standard	Fe2	Fe2	1	20	Fe2
1	A2	Std 1	1	Standard	Fe2	Fe2	1	20	Fe2
1	B1	Std 2	1	Standard	Fe2	Fe2	1	50	Fe2
1	B2	Std 2	1	Standard	Fe2	Fe2	1	50	Fe2
1	C1	Std 3	1	Standard	Fe2	Fe2	1	100	Fe2
1	C2	Std 3	1	Standard	Fe2	Fe2	1	100	Fe2
1	D1	Std 4	1	Standard	Fe2	Fe2	1	150	Fe2
1	D2	Std 4	1	Standard	Fe2	Fe2	1	150	Fe2
1	E1	Std 5	1	Standard	Fe2	Fe2	1	200	Fe2
1	E2	Std 5	1	Standard	Fe2	Fe2	1	200	Fe2
1	F1	Std 6	1	Standard	Fe2	Fe2	1	300	Fe2
1	F2	Std 6	1	Standard	Fe2	Fe2	1	300	Fe2
1	G1	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
1	G2	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
1	H1	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
1	H2	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
1	A3	t3_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	A4	t3_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	B3	t3_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	B4	t3_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	C3	t3_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	C4	t3_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	D3	t3_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	D4	t3_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	E3	t3_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	E4	t3_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	F3	t3_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	F4	t3_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	G3	t3_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	G4	t3_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	H3	t3_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	H4	t3_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	A5	t3_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	A6	t3_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	B5	t3_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	B6	t3_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	C5	t3_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	C6	t3_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	D5	t3_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	D6	t3_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	E5	t3_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	E6	t3_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	F5	t3_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	F6	t3_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	G5	t3_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	G6	t3_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	H5	t3_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	H6	t3_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
1	A7	Std 1	1	Standard	FeTot	FeTot	1	20	FeTot
