"Plate_number"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_group"	"Ave_abs_blanked"	"StdDev_abs_blanked"	"Ave_concentration"	"StdDev_concentration"	"Concentration_units"
1	"t5_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05205	0.000636396103067891	75.5490395582431	0.923710170324455	"uM"
1	"t5_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07285	0.00021213203435598	105.739625971528	0.307903390108175	"uM"
1	"t5_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.03325	0.00176776695296637	48.261394146236	2.56586158423461	"uM"
1	"t5_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0735	0.00212132034355964	106.683081796943	3.07903390108153	"uM"
1	"t5_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0221	0.000424264068711931	32.0774980641147	0.615806780216308	"uM"
1	"t5_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0662	0.00296984848098351	96.0873471422804	4.31064746151414	"uM"
1	"t5_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.02665	0.00120208152801713	38.6816888420207	1.74478587727953	"uM"
1	"t5_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0786	0.00169705627484772	114.0855813502	2.46322712086523	"uM"
1	"t5_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0095	0.000424264068711931	13.7889697560674	0.615806780216308	"uM"
1	"t5_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.06905	0.00148492424049174	100.224038069101	2.15532373075706	"uM"
1	"t5_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0087	0	12.6277933555565	0	"uM"
1	"t5_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0706	0.000989949493661175	102.473817345091	1.43688248717139	"uM"
1	"t5_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0275	0.000848528137423857	39.9154387675636	1.23161356043261	"uM"
1	"t5_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07555	7.07106781186666e-05	109.658596323252	0.102634463369401	"uM"
1	"t5_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0323	0	46.8824971706293	0	"uM"
1	"t5_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08725	0.00106066017177982	126.640801180725	1.53951695054076	"uM"
1	"t5_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0667	0.00197989898732234	96.8130823925997	2.87376497434277	"uM"
1	"t5_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0856	0	124.245874854671	0	"uM"
1	"t5_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.031	0.000424264068711931	44.995585519799	0.615806780216308	"uM"
1	"t5_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0688	0.000141421356237294	99.8611704439409	0.205268926738746	"uM"
1	"t5_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0421	0.000565685424949235	61.1069080768883	0.821075706955068	"uM"
1	"t5_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0825	0.000707106781186548	119.746316302691	1.02634463369384	"uM"
1	"t5_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0311	0.0014142135623731	45.1407325698628	2.05268926738768	"uM"
1	"t5_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0713	0.00127279220613578	103.489846695538	1.84742034064891	"uM"
1	"t5_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0321	0.000282842712474622	46.5922030705015	0.410537853477541	"uM"
1	"t5_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0776	0.00296984848098351	112.634110849561	4.31064746151414	"uM"
1	"t5_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0622	0.00212132034355964	90.2814651397257	3.07903390108153	"uM"
1	"t5_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08425	0.00134350288425445	122.286389678808	1.95005480401831	"uM"
1	"t5_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05545	0.000212132034355961	80.4840392604146	0.307903390108147	"uM"
1	"t5_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0751	0.00254558441227157	109.005434597965	3.69484068129782	"uM"
1	"t5_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0401	0.000565685424949235	58.2039670756109	0.821075706955068	"uM"
1	"t5_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07875	0.00106066017177982	114.303301925296	1.53951695054076	"uM"
2	"FeCl2_10k"	1	"Unknown"	"Fe2"	"Fe2"	10909.1	1	0.10015	0.00127279220613578	1454861.30218121	18489.6268240119	"uM"
2	"FeCl2_10k"	1	"Unknown"	"FeTot"	"FeTot"	10909.1	1	0.0998	0.000707106781186548	1449776.91420554	10272.0149022289	"uM"
2	"FeCl2_2k"	1	"Unknown"	"Fe2"	"Fe2"	2181.8	1	0.4876	0.00756604255869601	1416642.77224944	21981.9103882453	"uM"
2	"FeCl2_2k"	1	"Unknown"	"FeTot"	"FeTot"	2181.8	1	0.48795	0.00233345237791559	1417659.64052321	6779.46768983263	"uM"
2	"FeCl2_5k"	1	"Unknown"	"Fe2"	"Fe2"	5454.5	1	0.2005	0.00176776695296637	1456300.63492624	12839.9009277134	"uM"
2	"FeCl2_5k"	1	"Unknown"	"FeTot"	"FeTot"	5454.5	1	0.20215	0.00403050865276331	1468285.15386703	29274.9741151865	"uM"
2	"t6_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0468	0.000353553390593274	67.9288194298901	0.513172316846921	"uM"
2	"t6_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0673	0.000424264068711921	97.6839646929829	0.615806780216294	"uM"
2	"t6_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04475	0.00296984848098351	64.9533049035808	4.31064746151414	"uM"
