"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"A1"	0.0401	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"A2"	0.0425	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B1"	0.0632	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B2"	0.0636	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C1"	0.1013	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C2"	0.1043	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D1"	0.139	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D2"	0.1396	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E1"	0.1756	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E2"	0.1773	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F1"	0.2487	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F2"	0.2515	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"G1"	0.0252	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"G2"	0.0291	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"H1"	0.0299	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"H2"	0.0285	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"A3"	0.0534	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"A4"	0.0887	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B3"	0.0653	"t8_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B4"	0.065	"t8_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C3"	0.0838	"t8_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C4"	0.0803	"t8_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D3"	0.0888	"t8_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D4"	0.0876	"t8_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E3"	0.0634	"t8_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E4"	0.0617	"t8_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F3"	0.0616	"t8_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
