Dataset	HMM.Family	Closest.Homolog.Superkingdom	Closest.Homolog.Phylum	Closest.Homolog.Class	Closest.Homolog.Order	Closest.Homolog.Family	percent_abundance
L227 2013 6m	rpoB	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	7.88895221037206
L227 2013 6m	rpoB	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	1.70153871204103
L227 2013 6m	rpoB	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	1.09500936253358
L227 2013 6m	rpoB	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	1.13571603028576
L227 2013 6m	rpoB	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	9.76552959374745
L227 2013 6m	rpoB	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	1.37181470324839
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	3.18733208499552
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	5.08833346902223
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	8.27566555401775
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	2.72734673939591
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	1.64047871041277
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	11.8008629813563
L227 2013 6m	rpoB	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	1.18863469836359
L227 2013 6m	rpoB	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	1.92542538467801
L227 2013 6m	rpoB	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	2.5400960677359
L227 2013 6m	rpoB	Bacteria	Verrucomicrobia	Spartobacteria	Terrimicrobium	Terrimicrobium	1.5346413742571
L227 2013 6m	rpoB	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	1.08279736220793
L227 2013 6m	cyc2	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	2.80456605458641
L227 2013 6m	cyc2	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	1.96858963446931
L227 2013 6m	cyc2	unclassified	unclassified	unclassified	unclassified	unclassified	2.56186322293951
L227 2013 6m	dsrA	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	3.5427597620436
L227 2013 6m	dsrA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	2.7903152108131
L227 2013 6m	bchL	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	16.3029652766608
L227 2013 6m	bchL	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	1.09731497054448
L227 2013 6m	bchL	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	1.19137053944829
L227 2013 8m	rpoB	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	3.36818687430478
L227 2013 8m	rpoB	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Lentimicrobiaceae	4.36484983314794
L227 2013 8m	rpoB	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	2.15350389321468
L227 2013 8m	rpoB	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	1.70856507230256
L227 2013 8m	rpoB	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	1.27252502780868
L227 2013 8m	rpoB	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	5.93548387096774
L227 2013 8m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	4.80533926585095
L227 2013 8m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	3.07452725250278
L227 2013 8m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	1.79310344827586
L227 2013 8m	rpoB	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	1.16573971078977
L227 2013 8m	rpoB	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	1.93993325917686
L227 2013 8m	rpoB	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	9.43270300333704
L227 2013 8m	rpoB	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	1.25027808676307
L227 2013 8m	rpoB	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	1.53948832035595
L227 2013 8m	rpoB	Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	3.07007786429366
L227 2013 8m	rpoB	Bacteria	Verrucomicrobia	Spartobacteria	Terrimicrobium	Terrimicrobium	1.69076751946607
L227 2013 8m	rpoB	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	1.16573971078977
L227 2013 8m	rpoB	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	1.4238042269188
