Dataset	HMM.Family	Closest.Homolog.Superkingdom	Closest.Homolog.Phylum	Closest.Homolog.Class	Closest.Homolog.Order	Closest.Homolog.Family	percent_abundance
L227 2013 6m	rpoB	Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	7.88895221037206
L227 2013 6m	rpoB	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	0.533257347553529
L227 2013 6m	rpoB	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	0.630953350158756
L227 2013 6m	rpoB	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	0.553610681429618
L227 2013 6m	rpoB	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	1.70153871204103
L227 2013 6m	rpoB	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	0.818204021818774
L227 2013 6m	rpoB	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	1.09500936253358
L227 2013 6m	rpoB	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	1.13571603028576
L227 2013 6m	rpoB	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	9.76552959374745
L227 2013 6m	rpoB	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	1.37181470324839
L227 2013 6m	rpoB	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	0.69608401856224
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	3.18733208499552
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	5.08833346902223
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	8.27566555401775
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	2.72734673939591
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	0.761214686965725
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	1.64047871041277
L227 2013 6m	rpoB	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	11.8008629813563
L227 2013 6m	rpoB	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	1.18863469836359
L227 2013 6m	rpoB	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	1.92542538467801
L227 2013 6m	rpoB	Bacteria	Verrucomicrobia	Spartobacteria	Candidatus Xiphinematobacter	Candidatus Xiphinematobacter	0.610600016282667
