"subject_name","qseqid","sseqid","pident","evalue","qcovhsp","bitscore"
"Cba_parvum_NCIB_8327","WP_006367320.1","WP_012502434.1",39.819,5.2e-47,60,157
"Che_thalassium_ATCC_35110","WP_006367320.1","WP_012499778.1",49.587,2.43e-78,68,240
"Chl_chlorochromatii_CaD3","WP_006365810.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367305.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367307.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367308.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367309.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367310.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367320.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367321.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367322.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367323.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367388.1",NA,NA,NA,NA,NA
"Chl_chlorochromatii_CaD3","WP_006367389.1",NA,NA,NA,NA,NA
"Chl_clathratiforme_BU_1","WP_006367320.1","WP_012508687.1",40.529,1.62e-49,62,164
"Chl_clathratiforme_BU_1","WP_006367323.1","WP_012507073.1",73.438,4.06e-177,94,490
"Chl_ferrooxidans_KoFox","WP_006365810.1","WP_006365810.1",100,4.43e-113,100,313
"Chl_ferrooxidans_KoFox","WP_006367305.1","WP_006367305.1",100,0,100,602
"Chl_ferrooxidans_KoFox","WP_006367307.1","WP_006367307.1",100,0,100,493
"Chl_ferrooxidans_KoFox","WP_006367308.1","WP_006367308.1",100,0,100,611
"Chl_ferrooxidans_KoFox","WP_006367309.1","WP_006367309.1",100,0,100,1232
"Chl_ferrooxidans_KoFox","WP_006367310.1","WP_006367310.1",100,9.92e-113,100,312
"Chl_ferrooxidans_KoFox","WP_006367320.1","WP_006367320.1",100,0,100,732
"Chl_ferrooxidans_KoFox","WP_006367321.1","WP_006367321.1",100,0,100,572
"Chl_ferrooxidans_KoFox","WP_006367322.1","WP_006367322.1",100,0,100,555
"Chl_ferrooxidans_KoFox","WP_006367323.1","WP_006367323.1",100,0,100,690
"Chl_ferrooxidans_KoFox","WP_006367388.1","WP_006367388.1",100,0,100,839
"Chl_ferrooxidans_KoFox","WP_006367389.1","WP_006367389.1",100,3.03e-88,100,248
"Chl_limicola_DSM_245","WP_006367320.1","WP_012465345.1",40.088,1.31e-50,62,167
"Chl_luteolum_DSM_273","WP_006365810.1","WP_011356871.1",71.429,3.44e-81,99,233
"Chl_luteolum_DSM_273","WP_006367305.1","WP_011358288.1",53.004,2.91e-111,96,321
"Chl_luteolum_DSM_273","WP_006367307.1","WP_011358287.1",67.257,1.4e-114,95,324
"Chl_luteolum_DSM_273","WP_006367308.1","WP_011358286.1",79.522,0,100,505
"Chl_luteolum_DSM_273","WP_006367309.1","WP_011358285.1",71.953,0,100,887
"Chl_luteolum_DSM_273","WP_006367310.1","WP_041463880.1",53.147,6.59e-57,95,171
"Chl_luteolum_DSM_273","WP_006367320.1","WP_011358284.1",75.35,0,100,560
"Chl_luteolum_DSM_273","WP_006367321.1","WP_011358283.1",71.831,4.43e-142,98,398
"Chl_luteolum_DSM_273","WP_006367322.1","WP_011358282.1",77.256,2.87e-155,100,430
"Chl_luteolum_DSM_273","WP_006367323.1","WP_011358281.1",76.347,0,98,528
"Chl_luteolum_DSM_273","WP_006367388.1","WP_011358173.1",53.364,1.93e-147,100,421
"Chl_phaeobacteroides_BS1","WP_006365810.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367305.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367307.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367308.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367309.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367310.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367320.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367321.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367322.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367323.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367388.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006367389.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_DSM_266","WP_006367320.1","WP_011744329.1",40.088,1.18e-51,62,170
"Chl_phaeoferrooxidans_KB01","WP_006365810.1","WP_076790319.1",98.71,4.23e-112,100,311
"Chl_phaeoferrooxidans_KB01","WP_006367305.1","WP_076789648.1",93.151,0,100,571
"Chl_phaeoferrooxidans_KB01","WP_006367307.1","WP_076790657.1",95.359,1.95e-173,100,473
"Chl_phaeoferrooxidans_KB01","WP_006367308.1","WP_076790659.1",97.952,0,100,603
"Chl_phaeoferrooxidans_KB01","WP_006367309.1","WP_076790661.1",97.496,0,100,1201
