genome_name	c5_accession	sequence_name
Chl_ferrooxidans_KoFox	WP_006367389.1	Chl_ferrooxidans__WP_006367389.1
Chl_phaeoferrooxidans_KB01	WP_076793039.1	Chl_phaeoferrooxidans__WP_076793039.1
Chl_sp_N1	WP_131353791.1	Chl_sp_N1__WP_131353791.1
Chl_luteolum_CSM_273	WP_081423692.1	Chl_luteolum__WP_081423692.1
