X,CA-L227-2013.13.fa,CA-L227-2013.15.fa,CA-L227-2013.18.fa,CA-L227-2013.23.fa,CA-L227-2013.3.fa,CA-L227-2013.30.fa,CA-L227-2013.31.fa,CA-L227-2013.43.fa,CA-L227-2013.48.fa,CA-L227-2013.49.fa,CA-L227-2013.51.fa,CA-L227-2013.6.fa,CA-L227-2013.64.fa,CA-L227-2013.65.fa,CA-L227-2013.67.fa,CA-L227-2013.78.fa,CA-L227-2013.83.fa,CA-L227-2014.106.fa,CA-L227-2014.108.fa,CA-L227-2014.13.fa,CA-L227-2014.24.fa,CA-L227-2014.37.fa,CA-L227-2014.4.fa,CA-L227-2014.46.fa,CA-L227-2014.49.fa,CA-L227-2014.52.fa,CA-L227-2014.61.fa,CA-L227-2014.88.fa,CA-L227-2014.92.fa,CA-L442.12.fa,CA-L442.14.fa,CA-L442.15.fa,CA-L442.18.fa,CA-L442.19.fa,CA-L442.2.fa,CA-L442.33.fa,CA-L442.57.fa,CA-L442.60.fa,CA-L442.63.fa,CA-L442.70.fa,CA-L442.71.fa,CA-L442.72.fa,CA-L442.74.fa,CA-L442.75.fa,CA-L442.82.fa,CA-L442.84.fa,CA-L442.92.fa,L227-2013-6m.007.fa,L227-2013-8m.001.fa,L227-2013-8m.005.fa,L227-2013-8m.008.fa,L227-2014-6m.005.fa,L227-2014-6m.006.fa,L227-2014-6m.011.fa,L227-2014-6m.012.fa,L227-2014-6m.013.fa,L227-2014-6m.015.fa,L227-2014-6m.034.fa,L227-2014-8m.007.fa,L227-2014-8m.009.fa,L227-2014-8m.010.fa,L227_2013_bin22.fa,L227_2013_bin55.fa,L227_2013_bin56.fa,L227_S_6D.002.fa,L227_S_6D.003.fa,L227_enr_S_6D_bin01.fa,L304_enr_S_6D_bin01.fa,L442-2011-16-5m.003.fa,L442-2011-16-5m.005.fa,L442-2011-16-5m.006.fa,L442-2011-16-5m.007.fa,L442-2011-16-5m.008.fa,L442-2011-16-5m.015.fa,L442-2011-16-5m.018.fa,L442-2011-16-5m.021.fa,L442-2014-15m.004.fa,L442-2014-15m.009.fa,L442-2014-15m.012.fa,L442-2014-15m.013.fa,L442_2011_2014_bin64.fa,
iron_aquisition-iron_transport,4,0,0,6,5,3,3,0,0,2,0,0,0,4,3,0,0,4,0,13,2,2,2,0,2,0,0,2,4,2,4,0,2,0,4,0,2,5,11,2,0,2,2,2,2,2,0,6,2,0,2,2,0,2,0,2,0,0,0,2,2,2,2,4,0,2,2,2,3,2,0,2,0,2,5,4,5,0,2,4,2,
iron_aquisition-heme_transport,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,2,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport,2,5,9,9,16,0,23,19,4,2,13,17,0,21,18,8,7,21,11,23,10,14,23,8,19,10,12,9,7,24,2,26,5,8,14,2,12,15,22,17,6,11,13,23,2,23,10,21,16,0,7,2,7,0,0,14,0,14,8,3,15,19,17,19,19,34,12,13,14,17,29,3,12,7,21,2,7,20,9,9,11,
iron_gene_regulation,0,0,0,3,2,0,1,2,1,0,8,2,1,2,1,3,3,0,1,1,0,8,1,3,2,1,3,3,0,5,0,0,2,1,1,0,5,0,2,0,2,3,0,5,0,1,1,4,5,1,0,0,0,0,1,3,1,1,0,1,1,1,2,1,20,61,0,1,1,3,1,2,0,0,2,1,1,3,1,0,0,
iron_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,3,0,0,0,0,0,3,0,1,0,0,1,1,0,1,1,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2,1,5,0,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,1,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
iron_storage,2,0,2,0,0,1,3,1,1,2,0,0,0,1,1,4,2,2,2,0,2,0,1,0,2,0,4,3,1,0,1,2,0,3,1,0,0,0,2,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,2,2,2,4,3,1,4,0,1,1,0,1,0,0,2,1,2,2,0,1,
magnetosome_formation,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
