Dataset	HMM Family	ORF	HMM E-val	Aligned Length	Closest Homolog	%id of Closest Homolog	Closest Homolog Species	Closest Homolog Genus	Closest Homolog Family	Closest Homolog Order	Closest Homolog Class	Closest Homolog Phylum	Closest Homolog Superkingdom
CA_L227_2014_106_17	cyc2_Chlorobia_0	CA-L227-2014_185229_3_982_2379_-1_ID_379_3_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_498_ma0_1_to_64	1.1e-06	64			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_37_21	cyc2_Chlorobia_0	CA-L227-2014_62224_4_3264_4730_1_ID_130_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_455_ma2_21_to_148	1.9e-14	128			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_37_21	cyc2_Chlorobia_0	CA-L227-2014_53546_4_4458_5060_1_ID_119_4_partial_01_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_421_ma1_16_to_138	1.3e-17	123	gi|493948684|ref|WP_006892594.1|	67.9	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L227_2014_88_27	cyc2_Chlorobia_0	CA-L227-2014_19527_33_35808_37085_-1_ID_13_33_partial_00_start_type_ATG_rbs_motif_AATAA_rbs_spacer_11bp_gc_cont_0_447_ma3_1_to_81	6.8e-08	81			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_28	cyc2_Chlorobia_0	CA-L227-2014_161657_1_2_1324_1_ID_286_1_partial_10_start_type_Edge_rbs_motif_None_rbs_spacer_None_gc_cont_0_500_ma6_6_to_63	1.3e-06	58			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_28	cyc2_Chlorobia_0	CA-L227-2014_64247_2_977_2218_-1_ID_117_2_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_477_ma5_3_to_413	4.7e-195	411	gi|493411430|ref|WP_006367388.1|	54.8	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_92_28	cyc2_Chlorobia_0	CA-L227-2014_238212_3_1093_2349_1_ID_380_3_partial_00_start_type_ATG_rbs_motif_AAA_rbs_spacer_15bp_gc_cont_0_469_ma4_3_to_418	4.1e-200	416	gi|493411430|ref|WP_006367388.1|	52.6	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L442_2_34	cyc2_Chlorobia_0	CA-L442_135601_2_217_1596_-1_ID_305_2_partial_00_start_type_ATG_rbs_motif_AGGAG_rbs_spacer_5-10bp_gc_cont_0_609_ma8_11_to_136	5.1e-11	126			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_2_34	cyc2_Chlorobia_0	CA-L442_255164_3_1375_2856_1_ID_435_3_partial_00_start_type_ATG_rbs_motif_GGA_GAG_AGG_rbs_spacer_5-10bp_gc_cont_0_561_ma7_14_to_135	9.9e-16	122	gi|496498335|ref|WP_009206871.1|	64.3	Sulfuricella denitrificans	Sulfuricella	Sulfuricellaceae	Sulfuricellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_70_39	cyc2_Chlorobia_0	CA-L442_280491_15_11634_12908_1_ID_82_15_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_500_ma9_5_to_421	8.1e-82	417	gi|502793429|ref|WP_013028405.1|	67.4	Sideroxydans lithotrophicus	Sideroxydans	Gallionellaceae	Gallionellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_71_40	cyc2_Chlorobia_0	CA-L442_100387_4_2325_3665_-1_ID_183_4_partial_00_start_type_ATG_rbs_motif_None_rbs_spacer_None_gc_cont_0_397_ma10_1_to_74	2.1e-14	74	gi|518704822|ref|WP_019865919.1|	57.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L442_75_43	cyc2_Chlorobia_0	CA-L442_45510_11_8915_10306_-1_ID_50_11_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_648_ma11_29_to_147	4e-12	119			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_45	cyc2_Chlorobia_0	CA-L442_373194_4_3965_5335_-1_ID_216_4_partial_00_start_type_ATG_rbs_motif_AGGA_rbs_spacer_5-10bp_gc_cont_0_541_ma13_26_to_78	3.3e-11	53			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
