genome	metagenome	mapped_reads	coverage_mean	coverage_sd	genome_length_bp	genome_num_contigs	metagenome_total_reads
L304_S_6D_001_1-contigs	L304_S_6D	7684326	353.821454562429	57.8343685793859	2613542	15	10246102
L304_S_6D_001_1-contigs	L227_S_6D	62	0.00175929830092648	0.0814345241901671	2613542	15	11560348
CA-L227-2013.18	L304_S_6D	0	NA	NA	2943917	514	10246102
CA-L227-2013.18	L227_S_6D	0	NA	NA	2943917	514	11560348
CA-L442.72	L304_S_6D	0	NA	NA	3231354	605	10246102
CA-L442.72	L227_S_6D	0	NA	NA	3231354	605	11560348
L442-2011-16-5m.003	L304_S_6D	0	NA	NA	1631912	215	10246102
L442-2011-16-5m.003	L227_S_6D	350	0.0200574540784062	1.07867504353554	1631912	215	11560348
L227-2014-6m.012	L304_S_6D	0	NA	NA	1359170	136	10246102
L227-2014-6m.012	L227_S_6D	0	NA	NA	1359170	136	11560348
CA-L442.15	L304_S_6D	0	NA	NA	3477824	946	10246102
CA-L442.15	L227_S_6D	0	NA	NA	3477824	946	11560348
L227-2014-6m.005	L304_S_6D	0	NA	NA	1499446	125	10246102
L227-2014-6m.005	L227_S_6D	0	NA	NA	1499446	125	11560348
CA-L442.92	L304_S_6D	0	NA	NA	2975277	529	10246102
CA-L442.92	L227_S_6D	0	NA	NA	2975277	529	11560348
L227-2013-6m.007	L304_S_6D	0	NA	NA	3524415	381	10246102
L227-2013-6m.007	L227_S_6D	86	0.00290941900996336	0.0614075481239178	3524415	381	11560348
CA-L227-2013.51	L304_S_6D	0	NA	NA	4077329	399	10246102
CA-L227-2013.51	L227_S_6D	2	6.18051670591213e-05	0.0104350862468675	4077329	399	11560348
L227_S_6D_001_1-contigs	L304_S_6D	110	0.00336338706082388	0.12720287588208	2498969	13	10246102
L227_S_6D_001_1-contigs	L227_S_6D	5152856	245.683158134415	45.4240040181704	2498969	13	11560348
CA-L227-2014.4	L304_S_6D	0	NA	NA	2308906	209	10246102
CA-L227-2014.4	L227_S_6D	0	NA	NA	2308906	209	11560348
L442-2011-16-5m.015	L304_S_6D	0	NA	NA	1473931	338	10246102
L442-2011-16-5m.015	L227_S_6D	0	NA	NA	1473931	338	11560348
CA-L442.14	L304_S_6D	0	NA	NA	3186168	453	10246102
CA-L442.14	L227_S_6D	0	NA	NA	3186168	453	11560348
CA-L227-2014.108	L304_S_6D	0	NA	NA	1420445	175	10246102
CA-L227-2014.108	L227_S_6D	0	NA	NA	1420445	175	11560348
L227-2014-6m.013	L304_S_6D	0	NA	NA	2598018	129	10246102
L227-2014-6m.013	L227_S_6D	0	NA	NA	2598018	129	11560348
CA-L227-2014.61	L304_S_6D	0	NA	NA	4482382	138	10246102
