"query_name"	"subject_name"	"qseqid"	"sseqid"	"pident"	"evalue"	"qcovhsp"	"bitscore"	"gene_name"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508992.1"	"WP_012501290.1"	76.577	1.11e-63	100	185	"dsrC"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508980.1"	"WP_041466073.1"	62.016	5.03e-113	100	322	"dsrO"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508989.1"	"WP_012501293.1"	73.702	0	100	912	"dsrL"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508982.1"	"WP_012501297.1"	84.909	0	100	975	"dsrK"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508993.1"	"WP_012501289.1"	61.062	0	99	558	"dsrN"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508991.1"	"WP_012501291.1"	81.34	0	100	725	"dsrA"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508990.1"	"WP_012501292.1"	87.744	0	100	679	"dsrB"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508571.1"	"WP_012502532.1"	85.49	0	100	1049	"hupL"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508102.1"	"WP_012501324.1"	79.175	0	100	819	"sqr"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508570.1"	"WP_012502531.1"	72.566	2.04e-125	99	350	"hupC"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012506869.1"	"WP_012501274.1"	71.127	0	99	623	"fccB"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012506869.1"	"WP_012502323.1"	58.14	1.55e-175	99	494	"fccB"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012507601.1"	"WP_012502317.1"	75.726	0	99	958	"soxB"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012507599.1"	"WP_012502319.1"	66.316	5.86e-147	100	410	"soxA"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012507598.1"	"WP_012502320.1"	60.396	3.22e-44	100	135	"soxZ"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012507597.1"	"WP_012502321.1"	66.013	8.19e-77	100	221	"soxY"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012507596.1"	"WP_012502322.1"	64.957	1.13e-55	100	165	"soxX"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508569.1"	"WP_012502530.1"	57.143	5.79e-62	79	186	"hupD"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508979.1"	"WP_012501300.1"	45.263	9.72e-108	99	317	"dsrP"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508983.1"	"WP_012501296.1"	67.372	1.24e-161	100	451	"dsrM"
"Chl_clathratiforme_BU_1"	"Cba_parvum_NCIB_8327"	"WP_012508572.1"	"WP_012502533.1"	82.569	0	90	579	"hupS"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012508980.1"	"WP_012498677.1"	39.904	6.84e-45	81	155	"dsrO"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012508571.1"	"WP_012501193.1"	81.993	0	99	1001	"hupL"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012508102.1"	"WP_012500903.1"	76.86	0	100	814	"sqr"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012508570.1"	"WP_012501194.1"	73.451	1.43e-123	99	346	"hupC"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012506869.1"	"WP_012499197.1"	60.373	0	99	525	"fccB"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012508569.1"	"WP_012499819.1"	56.863	7.12e-64	79	191	"hupD"
"Chl_clathratiforme_BU_1"	"Che_thalassium_ATCC_35110"	"WP_012508572.1"	"WP_012501192.1"	78.83	0	99	582	"hupS"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508992.1"	"WP_011362966.1"	83.784	4.95e-68	100	196	"dsrC"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508987.1"	"WP_011362961.1"	89.076	2.61e-78	100	223	"dsrE"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508980.1"	"WP_011362954.1"	58.527	2.15e-119	100	338	"dsrO"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508980.1"	"WP_011362974.1"	42.995	1.13e-48	80	164	"dsrO"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012506891.1"	"WP_011362600.1"	84.4	0	100	1360	"qmoB"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508989.1"	"WP_011362963.1"	77.202	0	100	967	"dsrL"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012506894.1"	"WP_011362602.1"	92.977	0	99	1299	"aprA"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508994.1"	"WP_041466583.1"	74.324	5.1e-41	96	125	"tusA"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508982.1"	"WP_011362956.1"	85.974	0	99	1015	"dsrK"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508993.1"	"WP_011362967.1"	58.009	0	100	540	"dsrN"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_041526868.1"	"WP_011362960.1"	85.124	2.81e-74	96	213	"dsrF"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508991.1"	"WP_011362965.1"	82.775	0	100	726	"dsrA"
"Chl_clathratiforme_BU_1"	"Chl_chlorochromatii_CaD3"	"WP_012508990.1"	"WP_041466582.1"	88.858	0	100	692	"dsrB"
