Dataset	HMM Family	ORF	HMM E-val	Aligned Length	Closest Homolog	%id of Closest Homolog	Closest Homolog Species	Closest Homolog Genus	Closest Homolog Family	Closest Homolog Order	Closest Homolog Class	Closest Homolog Phylum	Closest Homolog Superkingdom
CA_L227_2013_22_1_contigs_3	cyc2_3GSB_0	CA_L227_2013_22_1_contigs__01451_hypothetical_protein_ma0_22_to_75	5.4e-09	54			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_55_contigs_12	cyc2_3GSB_0	CA_L227_2013_55_contigs__00196_hypothetical_protein_ma1_18_to_78	3.3e-09	61			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_3GSB_0	CA_L227_2013_56_1_contigs__01244_hypothetical_protein_ma5_11_to_65	2.2e-08	55			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_3GSB_0	CA_L227_2013_56_1_contigs__00970_hypothetical_protein_ma3_21_to_75	3.1e-09	55			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_3GSB_0	CA_L227_2013_56_1_contigs__01923_hypothetical_protein_ma4_8_to_64	2e-09	57			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_3GSB_0	CA_L227_2013_56_1_contigs__00797_hypothetical_protein_ma2_1_to_418	3.3e-152	418			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_106_20	cyc2_3GSB_0	CA_L227_2014_106__03063_hypothetical_protein_ma6_9_to_64	1.6e-05	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_37_24	cyc2_3GSB_0	CA_L227_2014_37__00930_hypothetical_protein_ma7_23_to_145	9.1e-12	123			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_88_30	cyc2_3GSB_0	CA_L227_2014_88__00389_hypothetical_protein_ma8_21_to_78	0.0002	58			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2014_92_31	cyc2_3GSB_0	CA_L227_2014_92__01763_hypothetical_protein_ma10_2_to_418	8.8e-156	417	gi|493411430|ref|WP_006367388.1|	52.6	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2014_92_31	cyc2_3GSB_0	CA_L227_2014_92__00539_hypothetical_protein_ma9_2_to_413	4.2e-159	412	gi|493411430|ref|WP_006367388.1|	54.8	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L442_2_37	cyc2_3GSB_0	CA_L442_2__01967_hypothetical_protein_ma12_20_to_64	4.1e-08	45			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_2_37	cyc2_3GSB_0	CA_L442_2__02700_hypothetical_protein_ma11_18_to_138	7.1e-14	121	gi|981146760|ref|WP_059422050.1|	64.9	Sulfuricella sp. T08	Sulfuricella	Sulfuricellaceae	Sulfuricellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_70_43	cyc2_3GSB_0	CA_L442_70__01747_hypothetical_protein_ma13_5_to_421	2e-71	417	gi|502793429|ref|WP_013028405.1|	67.4	Sideroxydans lithotrophicus	Sideroxydans	Gallionellaceae	Gallionellales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L442_71_44	cyc2_3GSB_0	CA_L442_71__00809_hypothetical_protein_ma14_3_to_72	1.3e-11	70	gi|518704822|ref|WP_019865919.1|	57.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
CA_L442_75_47	cyc2_3GSB_0	CA_L442_75__00831_hypothetical_protein_ma15_32_to_144	1.1e-09	113			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_49	cyc2_3GSB_0	CA_L442_84__00357_hypothetical_protein_ma16_11_to_145	1.3e-12	135			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L442_84_49	cyc2_3GSB_0	CA_L442_84__03042_hypothetical_protein_ma17_27_to_76	9e-09	50			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_2013_8m_001_52	cyc2_3GSB_0	L227_2013_8m_001__03753_hypothetical_protein_ma18_24_to_153	2.6e-13	130	gi|493948684|ref|WP_006892594.1|	73.1	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2014_6m_013_59	cyc2_3GSB_0	L227_2014_6m_013__00365_hypothetical_protein_ma19_14_to_147	1.1e-11	134	gi|518704822|ref|WP_019865919.1|	58.6	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L227_2014_6m_013_59	cyc2_3GSB_0	L227_2014_6m_013__00758_hypothetical_protein_ma20_54_to_216	4.4e-06	163			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_S_6D_001_1_contigs_65	cyc2_3GSB_0	L227_S_6D_001_1_contigs__00340_hypothetical_protein_ma22_10_to_65	2.7e-10	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L227_S_6D_001_1_contigs_65	cyc2_3GSB_0	L227_S_6D_001_1_contigs__00349_hypothetical_protein_ma21_8_to_423	5.7e-160	416	gi|493411430|ref|WP_006367388.1|	55.4	Chlorobium ferrooxidans	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
L304_Fe_6C_001_1_contigs_68	cyc2_3GSB_0	L304_Fe_6C_001_1_contigs__02188_hypothetical_protein_ma23_2_to_68	6.1e-11	67			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_Fe_6C_001_1_contigs_68	cyc2_3GSB_0	L304_Fe_6C_001_1_contigs__02259_hypothetical_protein_ma24_20_to_75	9.7e-09	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_3GSB_0	L304_S_6D_001_1_contigs__01438_hypothetical_protein_ma27_19_to_61	1.9e-08	43			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_3GSB_0	L304_S_6D_001_1_contigs__00448_hypothetical_protein_ma25_1_to_413	4e-158	413			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L304_S_6D_001_1_contigs_69	cyc2_3GSB_0	L304_S_6D_001_1_contigs__01790_hypothetical_protein_ma26_20_to_67	1.8e-09	48			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_005_71	cyc2_3GSB_0	L442_2011_16_5m_005__02494_hypothetical_protein_ma28_22_to_143	2.9e-13	122	gi|493948684|ref|WP_006892594.1|	70.6	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_16_5m_005_71	cyc2_3GSB_0	L442_2011_16_5m_005__02062_hypothetical_protein_ma29_20_to_145	1.6e-11	126			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
L442_2011_16_5m_007_73	cyc2_3GSB_0	L442_2011_16_5m_007__01101_hypothetical_protein_ma30_20_to_182	1.7e-11	163	gi|518704822|ref|WP_019865919.1|	59.1	Methylovulum miyakonense	Methylovulum	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
L442_2011_16_5m_007_73	cyc2_3GSB_0	L442_2011_16_5m_007__00144_hypothetical_protein_ma31_55_to_217	4.4e-06	163			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_22_1_contigs_3	cyc2_7GSB_1	CA_L227_2013_22_1_contigs__01451_hypothetical_protein_ma0_14_to_75	3.8e-10	62			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_22_1_contigs_3	cyc2_7GSB_1	CA_L227_2013_22_1_contigs__01483_hypothetical_protein_ma1_14_to_62	6.5e-05	49			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_55_contigs_12	cyc2_7GSB_1	CA_L227_2013_55_contigs__00196_hypothetical_protein_ma2_18_to_78	2.6e-10	61			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_7GSB_1	CA_L227_2013_56_1_contigs__00970_hypothetical_protein_ma4_20_to_75	4.4e-10	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_7GSB_1	CA_L227_2013_56_1_contigs__00797_hypothetical_protein_ma3_1_to_418	4.7e-209	418			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_7GSB_1	CA_L227_2013_56_1_contigs__00256_hypothetical_protein_ma7_9_to_63	9.3e-06	55			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_7GSB_1	CA_L227_2013_56_1_contigs__01244_hypothetical_protein_ma6_9_to_64	5e-09	56			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
CA_L227_2013_56_1_contigs_13	cyc2_7GSB_1	CA_L227_2013_56_1_contigs__01923_hypothetical_protein_ma5_5_to_64	5.2e-10	60			unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
