"seqid"	"source"	"start"	"end"	"strand"	"accession"	"product"	"genome"
"NZ_AASE01000042.1"	"Protein Homology"	-5337	-4939	"+"	"WP_006367396.1"	"acyl-CoA thioesterase"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-4893	-4366	"+"	"WP_006367395.1"	"DUF3856 domain-containing protein"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-4469	-3360	"+"	"WP_006367394.1"	"glycosyltransferase family 9 protein"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-3029	-2628	"+"	"WP_006367393.1"	"30S ribosomal protein S6"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-2559	-2074	"+"	"WP_006367392.1"	"single-stranded DNA-binding protein"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-2038	-1760	"+"	"WP_006367391.1"	"30S ribosomal protein S18"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-1723	-1268	"+"	"WP_006367390.1"	"50S ribosomal protein L9"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	-483	-127	"+"	"WP_006367389.1"	"cytochrome c5 family protein"	"Chl_ferrooxidans"
"NZ_AASE01000042.1"	"Protein Homology"	0	1232	"+"	"WP_006367388.1"	"cyc2"	"Chl_ferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	-4869	-4342	"+"	"WP_076792902.1"	"DUF3856 domain-containing protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	-4445	-3336	"+"	"WP_083694688.1"	"glycosyltransferase family 9 protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	-3005	-2604	"+"	"WP_006367393.1"	"30S ribosomal protein S6"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	-2535	-2062	"+"	"WP_076792905.1"	"single-stranded DNA-binding protein"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	-2026	-1748	"+"	"WP_006367391.1"	"30S ribosomal protein S18"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"Protein Homology"	-1711	-1256	"+"	"WP_076792907.1"	"50S ribosomal protein L9"	"Chl_phaeoferrooxidans"
"NZ_MPJE01000115.1"	"GeneMarkS+"	-909	-721	"-"	"WP_076792909.1"	"hypothetical protein"	"Chl_phaeoferrooxidans"
