"subject_name","qseqid","sseqid","pident","evalue","qcovhsp","bitscore"
"Cba_parvum_NCIB_8327","WP_012506869.1","WP_012501274.1",71.127,0,99,623
"Cba_parvum_NCIB_8327","WP_012507596.1","WP_012502322.1",64.957,1.13e-55,100,165
"Cba_parvum_NCIB_8327","WP_012507597.1","WP_012502321.1",66.013,8.19e-77,100,221
"Cba_parvum_NCIB_8327","WP_012507598.1","WP_012502320.1",60.396,3.22e-44,100,135
"Cba_parvum_NCIB_8327","WP_012507599.1","WP_012502319.1",66.316,5.86e-147,100,410
"Cba_parvum_NCIB_8327","WP_012507601.1","WP_012502317.1",75.726,0,99,958
"Cba_parvum_NCIB_8327","WP_012508058.1","WP_012502187.1",81.181,4.64e-169,100,465
"Cba_parvum_NCIB_8327","WP_012508059.1","WP_012502188.1",63.881,5.88e-171,99,475
"Cba_parvum_NCIB_8327","WP_012508060.1","WP_012502189.1",61.649,7.71e-130,100,365
"Cba_parvum_NCIB_8327","WP_012508062.1","WP_012502191.1",79.3,0,100,1108
"Cba_parvum_NCIB_8327","WP_012508090.1","WP_012502622.1",76.642,0,100,1510
"Cba_parvum_NCIB_8327","WP_012508091.1","WP_012502623.1",79.899,4.83e-123,100,342
"Cba_parvum_NCIB_8327","WP_012508092.1","WP_012502624.1",78.502,1.81e-169,100,468
"Cba_parvum_NCIB_8327","WP_012508102.1","WP_012501324.1",79.175,0,100,819
"Cba_parvum_NCIB_8327","WP_012508569.1","WP_012502530.1",57.143,5.79e-62,79,186
"Cba_parvum_NCIB_8327","WP_012508570.1","WP_012502531.1",72.566,2.04e-125,99,350
"Cba_parvum_NCIB_8327","WP_012508571.1","WP_012502532.1",85.49,0,100,1049
"Cba_parvum_NCIB_8327","WP_012508572.1","WP_012502533.1",82.569,0,90,579
"Cba_parvum_NCIB_8327","WP_012508979.1","WP_012501300.1",45.263,9.72e-108,99,317
"Cba_parvum_NCIB_8327","WP_012508980.1","WP_041466073.1",62.016,5.03e-113,100,322
"Cba_parvum_NCIB_8327","WP_012508982.1","WP_012501297.1",84.909,0,100,975
"Cba_parvum_NCIB_8327","WP_012508983.1","WP_012501296.1",67.372,1.24e-161,100,451
"Cba_parvum_NCIB_8327","WP_012508989.1","WP_012501293.1",73.702,0,100,912
"Cba_parvum_NCIB_8327","WP_012508990.1","WP_012501292.1",87.744,0,100,679
"Cba_parvum_NCIB_8327","WP_012508991.1","WP_012501291.1",81.34,0,100,725
"Cba_parvum_NCIB_8327","WP_012508992.1","WP_012501290.1",76.577,1.11e-63,100,185
"Cba_parvum_NCIB_8327","WP_012508993.1","WP_012501289.1",61.062,0,99,558
"Che_thalassium_ATCC_35110","WP_012506869.1","WP_012499197.1",60.373,0,99,525
"Che_thalassium_ATCC_35110","WP_012508062.1","WP_012498691.1",37.339,7.6e-48,35,168
"Che_thalassium_ATCC_35110","WP_012508090.1","WP_012500389.1",73.069,0,99,1451
"Che_thalassium_ATCC_35110","WP_012508091.1","WP_012500388.1",70.854,1.52e-107,100,303
"Che_thalassium_ATCC_35110","WP_012508092.1","WP_012500387.1",76.316,7.19e-162,100,449
"Che_thalassium_ATCC_35110","WP_012508102.1","WP_012500903.1",76.86,0,100,814
"Che_thalassium_ATCC_35110","WP_012508569.1","WP_012499819.1",56.863,7.12e-64,79,191
"Che_thalassium_ATCC_35110","WP_012508570.1","WP_012501194.1",73.451,1.43e-123,99,346
"Che_thalassium_ATCC_35110","WP_012508571.1","WP_012501193.1",81.993,0,99,1001
"Che_thalassium_ATCC_35110","WP_012508572.1","WP_012501192.1",78.83,0,99,582
"Che_thalassium_ATCC_35110","WP_012508980.1","WP_012498677.1",39.904,6.84e-45,81,155
"Chl_chlorochromatii_CaD3","WP_012506868.1","WP_011363013.1",60.163,2.7e-47,97,145
"Chl_chlorochromatii_CaD3","WP_012506869.1","WP_011363012.1",74.71,0,100,649
"Chl_chlorochromatii_CaD3","WP_012506890.1","WP_011362599.1",78.626,0,100,661
"Chl_chlorochromatii_CaD3","WP_012506891.1","WP_011362600.1",84.4,0,100,1360
"Chl_chlorochromatii_CaD3","WP_012506892.1","WP_011362601.1",82.082,0,100,717
"Chl_chlorochromatii_CaD3","WP_012506894.1","WP_011362602.1",92.977,0,99,1299
"Chl_chlorochromatii_CaD3","WP_012506895.1","WP_011362603.1",95,2.6e-101,100,282
"Chl_chlorochromatii_CaD3","WP_012506896.1","WP_011362604.1",84.615,0,100,739
"Chl_chlorochromatii_CaD3","WP_012507595.1","WP_011362930.1",72.028,0,99,633
"Chl_chlorochromatii_CaD3","WP_012507596.1","WP_011362931.1",66.087,2.64e-57,100,169
"Chl_chlorochromatii_CaD3","WP_012507597.1","WP_011362932.1",70.588,1.14e-76,100,221
"Chl_chlorochromatii_CaD3","WP_012507598.1","WP_011362933.1",73.267,1.66e-53,100,159
"Chl_chlorochromatii_CaD3","WP_012507599.1","WP_011362934.1",74.035,1.59e-162,100,449
"Chl_chlorochromatii_CaD3","WP_012507601.1","WP_011362936.1",80,0,99,1004
"Chl_chlorochromatii_CaD3","WP_012508058.1","WP_011362060.1",87.454,0,100,506
"Chl_chlorochromatii_CaD3","WP_012508059.1","WP_011362059.1",77.448,0,100,574
"Chl_chlorochromatii_CaD3","WP_012508060.1","WP_011362058.1",68.116,4.33e-148,100,412
"Chl_chlorochromatii_CaD3","WP_012508062.1","WP_011362056.1",84.756,0,100,1171
"Chl_chlorochromatii_CaD3","WP_012508090.1","WP_011361985.1",76.642,0,99,1465
"Chl_chlorochromatii_CaD3","WP_012508091.1","WP_011361984.1",79.397,2.99e-124,100,345
"Chl_chlorochromatii_CaD3","WP_012508092.1","WP_011361983.1",77.303,1.49e-156,100,436
"Chl_chlorochromatii_CaD3","WP_012508102.1","WP_011361915.1",83.884,0,100,860
"Chl_chlorochromatii_CaD3","WP_012508979.1","WP_011362953.1",37.677,1.25e-49,99,166
"Chl_chlorochromatii_CaD3","WP_012508980.1","WP_011362954.1",58.527,2.15e-119,100,338
"Chl_chlorochromatii_CaD3","WP_012508981.1","WP_011362955.1",60.317,1.77e-56,98,168
"Chl_chlorochromatii_CaD3","WP_012508982.1","WP_011362956.1",85.974,0,99,1015
"Chl_chlorochromatii_CaD3","WP_012508983.1","WP_011362957.1",68.485,8.33e-175,99,484
"Chl_chlorochromatii_CaD3","WP_012508984.1","WP_011362958.1",54.412,4.99e-46,87,143
"Chl_chlorochromatii_CaD3","WP_012508985.1","WP_011362959.1",59.794,4.13e-44,100,134
