fastani_name	tree_name	plotting_name
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Cba_parvum_NCIB_8327.fna.gz	Cba_parvum_NCIB_8327	Cba. parvum NCIB 8327
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Che_thalassium_ATCC_35110.fna.gz	Che_thalassium_ATCC_35110	Che. thalassium ATCC 35110
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_chlorochromatii_CaD3.fna.gz	Chl_chlorochromatii_CaD3	Chl. chlorochromatii CaD3
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_clathratiforme_BU_1.fna.gz	Chl_clathratiforme_BU_1	Chl. clathratiforme BU-1
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_ferrooxidans_KoFox.fna.gz	Chl_ferrooxidans_KoFox	Chl. ferrooxidans KoFox
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_limicola_DSM_245.fna.gz	Chl_limicola_DSM_245	Chl. limicola DSM 245
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_luteolum_DSM_273.fna.gz	Chl_luteolum_DSM_273	Chl. luteolum DSM 273
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_phaeobacteroides_BS1.fna.gz	Chl_phaeobacteroides_BS1	Chl. phaeobacteroides BS1
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_phaeobacteroides_DSM_266.fna.gz	Chl_phaeobacteroides_DSM_266	Chl. phaeobacteroides DSM 266
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_phaeoferrooxidans_KB01.fna.gz	Chl_phaeoferrooxidans_KB01	Chl. phaeoferrooxidans KB01
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_phaeovibrioides_DSM_265.fna.gz	Chl_phaeovibrioides_DSM_265	Chl. phaeovibrioides DSM 265
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_sp_N1.fna.gz	Chl_sp_N1	Chl. sp. N1
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Chl_tepidum_TLS.fna.gz	Chl_tepidum_TLS	Chl. tepidum TLS
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Ignavibacterium_album_JCM_16511_outgroup.fna.gz	Ignavibacterium_album_JCM_16511_outgroup	Ignavibacterium album JCM 16511 (outgroup)
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/L227_2013_bin22.fna.gz	L227_2013_bin22	L227 2013 bin 22
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/L227_2013_bin55.fna.gz	L227_2013_bin55	L227 2013 bin 55
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/L227_2013_bin56.fna.gz	L227_2013_bin56	L227 2013 bin 56
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/L227_enr_S_6D_bin01.fna.gz	L227_enr_S_6D_bin01	L227 enrichment S-6D
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/L304_enr_S_6D_bin01.fna.gz	L304_enr_S_6D_bin01	L304 enrichment S-6D
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/L442_2011_2014_bin64.fna.gz	L442_2011_2014_bin64	L442 bin 64
/Analysis/jmtsuji/chlorobia-cyc2-genomics/Data_analysis_pipeline/06_comparative_genomics/06_ANI/inputs/Ptc_aestuarii_DSM_271.fna.gz	Ptc_aestuarii_DSM_271	Ptc. aestuarii DSM 271
