Bin ID	Contigs	Length (Mb)	N50 (kb)	L50	GC content (%)	Genes	tRNA_count	Completeness (%)	Contamination (%)
L227 2013 Bin 55	208	2.38	16.7	42	48.5	2397	39	97.39	0.11
L227 2013 Bin 56	140	2.09	27.6	21	43.9	2009	38	96.7	0.57
L227 2013 Bin 22	57	2.55	79.5	12	45.9	2471	37	98.5	2.75
L442 Bin 64	128	1.9	28.6	22	48.3	1871	35	90.11	0
L227 enr. S-6D Bin 1	13	2.5	306.7	3	46.8	2385	44	99.45	1.01
Ca. Chl. canadense L304-6D	15	2.61	271.5	3	48.7	2504	45	99.43	0
