Dataset	HMM Family	ORF	HMM E-val	Aligned Length	Closest Homolog	%id of Closest Homolog	Closest Homolog Species	Closest Homolog Genus	Closest Homolog Family	Closest Homolog Order	Closest Homolog Class	Closest Homolog Phylum	Closest Homolog Superkingdom
CA_L227_2013_13_0	rpoB_3	CA_L227_2013_13__02560_DNA-directed_RNA_polymerase_subunit_beta_ma1_5_to_84	2.2e-28	80	gi|780530902|ref|WP_045581804.1|	76.4	Azospirillum thiophilum	Azospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_13_0	rpoB_3	CA_L227_2013_13__03364_DNA-directed_RNA_polymerase_subunit_beta_ma0_1_to_468	6.1e-224	468	gi|737706216|ref|WP_035675062.1|	82.8	Azospirillum brasilense	Azospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_15_1	rpoB_3	CA_L227_2013_15__00016_DNA-directed_RNA_polymerase_subunit_beta_ma2_11_to_993	0	983	gi|786209614|ref|WP_045750584.1|	99.3	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_15_1	rpoB_3	CA_L227_2013_15__00016_DNA-directed_RNA_polymerase_subunit_beta_ma3_991_to_1377	7.6e-113	387	gi|786209614|ref|WP_045750584.1|	99.3	Candidatus Methylopumilus turicensis	Candidatus Methylopumilus	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Bacteria
CA_L227_2013_18_2	rpoB_3	CA_L227_2013_18__01658_DNA-directed_RNA_polymerase_subunit_beta_ma4_47_to_399	4.3e-97	353	gi|501384025|ref|WP_012415591.1|	56.9	Elusimicrobium minutum	Elusimicrobium	Elusimicrobiaceae	Elusimicrobiales	Elusimicrobia	Elusimicrobia	Bacteria
CA_L227_2013_18_2	rpoB_3	CA_L227_2013_18__01530_DNA-directed_RNA_polymerase_subunit_beta_ma5_1_to_59	1.3e-16	59	gi|1122259353|ref|WP_073992648.1|	53.1	Parasporobacterium paucivorans	Parasporobacterium	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00482_DNA-directed_RNA_polymerase_subunit_beta_ma6_11_to_1139	0	1129	gi|753754217|ref|WP_041526912.1|	94.1	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00481_DNA-directed_RNA_polymerase_subunit_beta_ma11_1079_to_1350	6e-62	272	gi|501501080|ref|WP_012509309.1|	94.0	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00481_DNA-directed_RNA_polymerase_subunit_beta_ma8_15_to_242	3.2e-61	228	gi|501501080|ref|WP_012509309.1|	94.0	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00481_DNA-directed_RNA_polymerase_subunit_beta_ma12_1381_to_1477	5.2e-27	97	gi|501501080|ref|WP_012509309.1|	94.0	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00482_DNA-directed_RNA_polymerase_subunit_beta_ma7_1134_to_1298	1.5e-102	165	gi|753754217|ref|WP_041526912.1|	94.1	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00481_DNA-directed_RNA_polymerase_subunit_beta_ma10_623_to_1050	4.4e-122	428	gi|501501080|ref|WP_012509309.1|	94.0	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_22_1_contigs_3	rpoB_3	CA_L227_2013_22_1_contigs__00481_DNA-directed_RNA_polymerase_subunit_beta_ma9_263_to_598	3.4e-151	336	gi|501501080|ref|WP_012509309.1|	94.0	Pelodictyon phaeoclathratiforme	Pelodictyon	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria
CA_L227_2013_23_4	rpoB_3	CA_L227_2013_23__01899_DNA-directed_RNA_polymerase_subunit_beta_ma15_993_to_1338	1.8e-99	346	gi|1072770921|ref|WP_069960790.1|	61.0	Lacunisphaera limnophila	Lacunisphaera	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
CA_L227_2013_23_4	rpoB_3	CA_L227_2013_23__01899_DNA-directed_RNA_polymerase_subunit_beta_ma13_2_to_802	2e-273	801	gi|1072770921|ref|WP_069960790.1|	61.0	Lacunisphaera limnophila	Lacunisphaera	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
CA_L227_2013_23_4	rpoB_3	CA_L227_2013_23__01899_DNA-directed_RNA_polymerase_subunit_beta_ma14_803_to_961	3.8e-34	159	gi|1072770921|ref|WP_069960790.1|	61.0	Lacunisphaera limnophila	Lacunisphaera	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
CA_L227_2013_3_5	rpoB_3	CA_L227_2013_3__01392_DNA-directed_RNA_polymerase_subunit_beta_ma17_1084_to_1260	1.8e-96	177	gi|494040793|ref|WP_006982917.1|	87.3	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
CA_L227_2013_3_5	rpoB_3	CA_L227_2013_3__01000_DNA-directed_RNA_polymerase_subunit_beta_ma18_1_to_872	0	872	gi|757171833|ref|WP_042725921.1|	82.2	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
