"subject_name","qseqid","sseqid","pident","evalue","qcovhsp","bitscore"
"Cba_parvum_NCIB_8327","NP_661538.1","WP_012501897.1",86.713,2.88e-96,100,270
"Cba_parvum_NCIB_8327","NP_661548.1","WP_012501905.1",79.556,8.6e-136,100,376
"Cba_parvum_NCIB_8327","NP_661549.1","WP_012501906.1",68.468,4.7e-115,100,324
"Cba_parvum_NCIB_8327","NP_661937.1","WP_012502218.1",85.714,5.16e-43,100,130
"Cba_parvum_NCIB_8327","NP_661954.1","WP_012502262.1",87.719,0,99,633
"Cba_parvum_NCIB_8327","NP_661968.1","WP_012502284.1",84.974,1.59e-122,100,340
"Cba_parvum_NCIB_8327","NP_661979.1","WP_012502250.1",92.951,0,100,1141
"Cba_parvum_NCIB_8327","NP_661980.1","WP_012502249.1",93.467,0,100,766
"Cba_parvum_NCIB_8327","NP_662184.1","WP_012501978.1",95,0,100,1079
"Cba_parvum_NCIB_8327","NP_662185.1","WP_012501977.1",89.595,0,88,638
"Cba_parvum_NCIB_8327","NP_662208.1","WP_012502573.1",90.171,0,100,905
"Cba_parvum_NCIB_8327","NP_662269.1","WP_012502029.1",80.247,7.84e-142,99,393
"Cba_parvum_NCIB_8327","NP_662384.1","WP_012502817.1",94.262,0,100,717
"Cba_parvum_NCIB_8327","NP_662522.1","WP_012501804.1",83.495,2.39e-129,100,358
"Cba_parvum_NCIB_8327","NP_662656.1","WP_012501684.1",89.262,0,99,851
"Cba_parvum_NCIB_8327","NP_662713.1","WP_012501625.1",91.946,0,100,865
"Cba_parvum_NCIB_8327","NP_662819.1","WP_010933599.1",100,2.14e-54,100,159
"Cba_parvum_NCIB_8327","NP_662820.1","WP_012501531.1",89.928,4.63e-86,100,244
"Cba_parvum_NCIB_8327","NP_662836.1","WP_012501519.1",97.985,0,100,1121
"Cba_parvum_NCIB_8327","NP_662868.1","WP_012501505.1",90.855,0,92,603
"Cba_parvum_NCIB_8327","NP_662894.1","WP_012503121.1",67.769,2.26e-84,100,247
"Cba_parvum_NCIB_8327","NP_662895.1","WP_012503122.1",94.665,0,100,1382
"Cba_parvum_NCIB_8327","NP_662929.1","WP_012503153.1",84,6.73e-43,87,130
