user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	red_value	warnings
L442-2011-16-5m.003	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__UBA7399;s__GCA_002470125.1	GCA_002470125.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__UBA7399;s__	99.23	0.65	GCA_002470125.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__UBA7399;s__	99.23	0.65	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	94.58	N/A	N/A
CA-L442.82	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__	GCF_000152145.1	95.0	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae;g__Oscillochloris;s__Oscillochloris trichoides	77.72	0.28	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	89.18	0.9234566109353162	N/A
CA-L227-2013.64	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__GWA1-40-21;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	71.34	0.8358448517420867	N/A
L227-2014-6m.015	d__Bacteria;p__Patescibacteria;c__ABY1;o__Falkowbacterales;f__UBA12465;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	77.26	0.89076332179323	N/A
CA-L442.33	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	89.49	0.8572143871724903	N/A
L442-2011-16-5m.021	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	91.28	0.81851184925514	N/A
L227-2014-6m.012	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	GCA_000378885.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp2	80.92	0.51	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_002284895.1, s__, 95.0, 80.53, 0.6; GCF_002288185.1, s__Planktophila vernalis, 95.0, 80.52, 0.58; GCA_001438925.1, s__Planktophila sp1, 95.0, 78.39, 0.17; GCF_002288065.1, s__Planktophila sulfonica, 95.0, 77.91, 0.16; GCF_002288385.1, s__Planktophila lacus_B, 95.0, 77.76, 0.19; GCA_000372185.1, s__, 95.0, 77.73, 0.13; GCF_002288045.1, s__Planktophila dulcis, 95.0, 77.5, 0.16; GCF_002287925.1, s__Planktophila lacus, 95.0, 77.43, 0.21; GCF_002288325.1, s__Planktophila lacus_A, 95.0, 77.42, 0.2; GCF_002288365.1, s__Planktophila limnetica, 95.0, 77.37, 0.24; GCF_002284855.1, s__, 95.0, 77.34, 0.17; GCF_002284875.1, s__, 95.0, 77.13, 0.25; GCF_002288345.1, s__Planktophila versatilis, 95.0, 76.96, 0.18	77.4	0.9618820750254644	N/A
L227-2014-6m.005	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	GCA_000378885.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp2	78.73	0.3	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_001438925.1, s__Planktophila sp1, 95.0, 78.66, 0.14; GCF_002284895.1, s__, 95.0, 78.63, 0.34; GCF_002288185.1, s__Planktophila vernalis, 95.0, 78.38, 0.35; GCF_002288345.1, s__Planktophila versatilis, 95.0, 78.03, 0.12; GCF_002288045.1, s__Planktophila dulcis, 95.0, 77.97, 0.13; GCF_002284875.1, s__, 95.0, 77.62, 0.17; GCF_002288065.1, s__Planktophila sulfonica, 95.0, 77.55, 0.15; GCF_002287925.1, s__Planktophila lacus, 95.0, 77.38, 0.17; GCF_002288365.1, s__Planktophila limnetica, 95.0, 77.37, 0.17; GCF_002288325.1, s__Planktophila lacus_A, 95.0, 77.19, 0.17; GCF_002284855.1, s__, 95.0, 77.17, 0.15; GCF_002288385.1, s__Planktophila lacus_B, 95.0, 77.13, 0.17; GCA_000372185.1, s__, 95.0, 76.7, 0.12	95.13	0.9457876713761193	N/A
CA-L442.18	d__Bacteria;p__Omnitrophota;c__Omnitrophia;o__Omnitrophales;f__UBA2337;g__XYB12-FULL-50-7;s__	GCA_001804345.1	95.0	d__Bacteria;p__Omnitrophota;c__Omnitrophia;o__Omnitrophales;f__UBA2337;g__XYB12-FULL-50-7;s__	81.47	0.43	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	83.95	0.9665223332097801	N/A
L227-2014-8m.010	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	85.52	0.926535536706119	N/A
CA-L227-2013.18	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	GCA_001799615.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__	80.67	0.43	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_001799735.1, s__, 95.0, 80.4, 0.43; GCA_001799995.1, s__UBA9959 sp3, 95.0, 80.3, 0.41; GCA_002840355.1, s__, 95.0, 80.16, 0.41; GCA_001799715.1, s__UBA9959 sp1, 95.0, 80.09, 0.39; UBA11697, s__, 95.0, 79.96, 0.35; GCA_001799635.1, s__, 95.0, 79.92, 0.4; GCA_001799895.1, s__UBA9959 sp2, 95.0, 79.89, 0.44; GCA_001799845.1, s__, 95.0, 79.52, 0.41; GCA_002779045.1, s__, 95.0, 78.96, 0.32; GCA_001871115.1, s__, 95.0, 78.25, 0.26	69.53	0.9419632047988686	Genome has more than 10.8% of markers with multiple hits
CA-L227-2014.108	d__Bacteria;p__Goldbacteria-1;c__Goldbacteria-1;o__Goldbacteria-1;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	84.27	0.7002613622393222	N/A
