genome	metagenome	mapped_reads	coverage_mean	coverage_sd	genome_length_bp	genome_num_contigs	metagenome_total_reads
L304_enr_S_6D_bin01	L227-2013-6m	4	0.000114786752997	0.021284079711375	2613542	15	53941731
L304_enr_S_6D_bin01	L442-2014-15m	0	NA	NA	2613542	15	54406863
L304_enr_S_6D_bin01	L227-2013-8m	2	4.89756812785102E-05	0.009896918784003	2613542	15	53941011
L304_enr_S_6D_bin01	L227-2014-8m	6	0.000166058169335	0.018223306242803	2613542	15	51774711
L304_enr_S_6D_bin01	L227-2014-6m	4	0.000114021507977	0.015100665624344	2613542	15	77902434
L304_enr_S_6D_bin01	L442-2011-16-5m	0	NA	NA	2613542	15	61146180
CA-L227-2013.18	L227-2013-6m	45556	2.45154873591885	2.19071157612184	2943917	514	53941731
CA-L227-2013.18	L442-2014-15m	46	0.002462025933476	0.077684436403912	2943917	514	54406863
CA-L227-2013.18	L227-2013-8m	152952	8.74342958717926	4.36320062091918	2943917	514	53941011
CA-L227-2013.18	L227-2014-8m	17604	0.92488578991867	1.35490355911705	2943917	514	51774711
CA-L227-2013.18	L227-2014-6m	8864	0.483968807544506	0.95790719274941	2943917	514	77902434
CA-L227-2013.18	L442-2011-16-5m	58	0.003181135881209	0.081892883053211	2943917	514	61146180
CA-L442.72	L227-2013-6m	7006	0.342490485412617	1.49510911719563	3231354	605	53941731
CA-L442.72	L442-2014-15m	172352	8.94858006891229	5.03630719578223	3231354	605	54406863
CA-L442.72	L227-2013-8m	5840	0.304740365803313	0.755105099908549	3231354	605	53941011
CA-L442.72	L227-2014-8m	35150	1.69227945932262	1.90936686068215	3231354	605	51774711
CA-L442.72	L227-2014-6m	66040	3.23254833732237	2.95391165089487	3231354	605	77902434
CA-L442.72	L442-2011-16-5m	464124	25.7194649673171	11.0319156524409	3231354	605	61146180
L442-2011-16-5m.003	L227-2013-6m	28986	2.8791779213585	76.6454935718419	1631912	215	53941731
L442-2011-16-5m.003	L442-2014-15m	209456	22.5628453004819	28.3022962231105	1631912	215	54406863
L442-2011-16-5m.003	L227-2013-8m	6552	0.634922716420984	5.76050531015158	1631912	215	53941011
L442-2011-16-5m.003	L227-2014-8m	6694	0.596921892847163	5.61308259094779	1631912	215	51774711
L442-2011-16-5m.003	L227-2014-6m	10642	1.05755886346813	11.8716098273232	1631912	215	77902434
L442-2011-16-5m.003	L442-2011-16-5m	375342	41.2818246327008	25.4489556271324	1631912	215	61146180
L227-2014-6m.012	L227-2013-6m	61170	7.49438186540315	6.02439729621516	1359170	136	53941731
L227-2014-6m.012	L442-2014-15m	21668	2.85883517146494	3.16859374036946	1359170	136	54406863
L227-2014-6m.012	L227-2013-8m	23822	3.02580766202903	3.05244845533705	1359170	136	53941011
L227-2014-6m.012	L227-2014-8m	23092	2.78103180617583	3.34359297764672	1359170	136	51774711
L227-2014-6m.012	L227-2014-6m	120984	15.4745182721808	10.9365574368195	1359170	136	77902434
L227-2014-6m.012	L442-2011-16-5m	22922	3.03912829153086	3.39802995586495	1359170	136	61146180
CA-L442.15	L227-2013-6m	868	0.037634164351043	0.625436130650089	3477824	946	53941731
CA-L442.15	L442-2014-15m	119094	5.97007352873521	3.96987889116924	3477824	946	54406863
CA-L442.15	L227-2013-8m	574	0.025884576102759	0.401979153299068	3477824	946	53941011
CA-L442.15	L227-2014-8m	954	0.042446368763917	0.558535689730313	3477824	946	51774711
CA-L442.15	L227-2014-6m	1750	0.079472106696601	0.978985395532124	3477824	946	77902434
CA-L442.15	L442-2011-16-5m	41782	2.1710658733737	2.08943826149588	3477824	946	61146180
