genome	cyc2_accession	link_fna	link_faa	link_gff	notes
Chl_ferrooxidans_KoFox	WP_006367388.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/715/GCF_000168715.1_ASM16871v1/GCF_000168715.1_ASM16871v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/715/GCF_000168715.1_ASM16871v1/GCF_000168715.1_ASM16871v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/715/GCF_000168715.1_ASM16871v1/GCF_000168715.1_ASM16871v1_genomic.gff.gz	
Chl_phaeoferrooxidans_KB01	WP_076792910.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/465/GCF_001975465.1_ASM197546v1/GCF_001975465.1_ASM197546v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/465/GCF_001975465.1_ASM197546v1/GCF_001975465.1_ASM197546v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/465/GCF_001975465.1_ASM197546v1/GCF_001975465.1_ASM197546v1_genomic.gff.gz	
Chl_luteolum_DSM_273	WP_011358173.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/485/GCF_000012485.1_ASM1248v1/GCF_000012485.1_ASM1248v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/485/GCF_000012485.1_ASM1248v1/GCF_000012485.1_ASM1248v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/485/GCF_000012485.1_ASM1248v1/GCF_000012485.1_ASM1248v1_genomic.gff.gz	
Chl_N1	WP_131354685.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/332/115/GCF_004332115.1_ASM433211v1/GCF_004332115.1_ASM433211v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/332/115/GCF_004332115.1_ASM433211v1/GCF_004332115.1_ASM433211v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/332/115/GCF_004332115.1_ASM433211v1/GCF_004332115.1_ASM433211v1_genomic.gff.gz	
Thiomonas_sp_FB_6	WP_018914220.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/645/GCF_000377645.1_ASM37764v1/GCF_000377645.1_ASM37764v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/645/GCF_000377645.1_ASM37764v1/GCF_000377645.1_ASM37764v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/645/GCF_000377645.1_ASM37764v1/GCF_000377645.1_ASM37764v1_genomic.gff.gz	
Thiomonas_sp_FB_Cd	WP_051849522.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/733/775/GCF_000733775.1_ASM73377v1/GCF_000733775.1_ASM73377v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/733/775/GCF_000733775.1_ASM73377v1/GCF_000733775.1_ASM73377v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/733/775/GCF_000733775.1_ASM73377v1/GCF_000733775.1_ASM73377v1_genomic.gff.gz	
Gallionella_capsiferriformans_ES_2	WP_013292418.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/255/GCF_000145255.1_ASM14525v1/GCF_000145255.1_ASM14525v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/255/GCF_000145255.1_ASM14525v1/GCF_000145255.1_ASM14525v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/255/GCF_000145255.1_ASM14525v1/GCF_000145255.1_ASM14525v1_genomic.gff.gz	
Ferriphaselus_sp_R_1	WP_035382865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/095/GCF_000746095.1_ASM74609v1/GCF_000746095.1_ASM74609v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/095/GCF_000746095.1_ASM74609v1/GCF_000746095.1_ASM74609v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/095/GCF_000746095.1_ASM74609v1/GCF_000746095.1_ASM74609v1_genomic.gff.gz	
Ferriphaselus_amnicola_OYT1	WP_062625436.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/685/GCF_000974685.2_FaOYT1_2.0/GCF_000974685.2_FaOYT1_2.0_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/685/GCF_000974685.2_FaOYT1_2.0/GCF_000974685.2_FaOYT1_2.0_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/685/GCF_000974685.2_FaOYT1_2.0/GCF_000974685.2_FaOYT1_2.0_genomic.gff.gz	
Sideroxydans_lithotrophicus_ES_1	WP_013028404.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1/GCF_000025705.1_ASM2570v1_genomic.fna.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1/GCF_000025705.1_ASM2570v1_protein.faa.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/705/GCF_000025705.1_ASM2570v1/GCF_000025705.1_ASM2570v1_genomic.gff.gz	Has two other cyc2’s directly adjacent:WP_013028405.1;WP_013028406.1
