"subject_name","qseqid","sseqid","pident","evalue","qcovhsp","bitscore"
"Cba_parvum_NCIB_8327","WP_006366234.1",NA,NA,NA,NA,NA
"Che_thalassium_ATCC_35110","WP_006366234.1","WP_012499756.1",54.061,2.2e-160,98,454
"Chl_chlorochromatii_CaD3","WP_006366234.1",NA,NA,NA,NA,NA
"Chl_clathratiforme_BU_1","WP_006366234.1","WP_011744095.1",45.823,7.81e-127,99,369
"Chl_ferrooxidans_KoFox","WP_006366234.1","WP_006366234.1",100,0,100,823
"Chl_limicola_DSM_245","WP_006366234.1","WP_012465907.1",59.947,1.24e-172,94,483
"Chl_luteolum_DSM_273","WP_006366234.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_BS1","WP_006366234.1",NA,NA,NA,NA,NA
"Chl_phaeobacteroides_DSM_266","WP_006366234.1","WP_011744581.1",57.738,1.35e-138,84,396
"Chl_phaeoferrooxidans_KB01","WP_006366234.1","WP_076792185.1",94.975,0,99,765
"Chl_phaeovibrioides_DSM_265","WP_006366234.1",NA,NA,NA,NA,NA
"Chl_sp_N1","WP_006366234.1",NA,NA,NA,NA,NA
"Chl_tepidum_TLS","WP_006366234.1",NA,NA,NA,NA,NA
"Ignavibacterium_album_JCM_16511_outgroup","WP_006366234.1",NA,NA,NA,NA,NA
"L227_2013_bin22","WP_006366234.1","CA-L227-2013_39283_1",60.886,4.69e-128,68,366
"L227_2013_bin55","WP_006366234.1",NA,NA,NA,NA,NA
"L227_2013_bin56","WP_006366234.1","CA-L227-2013_133471_3",58.779,2.23e-177,98,498
"L227_enr_S_6D_bin01","WP_006366234.1","L227_S_6D_2_497",60.051,9.09e-179,98,500
"L304_enr_S_6D_bin01","WP_006366234.1","L304_S_6D_6_13",57.812,9.89e-173,96,484
"L442_2011_2014_bin64","WP_006366234.1",NA,NA,NA,NA,NA
"Ptc_aestuarii_DSM_271","WP_006366234.1","WP_012505196.1",58.09,1.63e-171,94,481
